Title,Summary,Company,Location,Salary
"Analyst, Integrated Data and Reporting","Deep understanding in data relations, data standardization and analytics as it relates to Medical Device Capital and Consumables products and services....",Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available
Accenture Analyst - Northeast - Entry Level,"Accenture Analysts are forward-thinking, well-rounded people with outstanding academic performance and high learning agility....",Accenture,"Florham Park, NJ 07932",Not available
Country Analyst,"Partner with stakeholders to leverage data (internal data from Audible & Amazon, as well as external data from market research and marketing agencies) and...",Amazon.com,"Newark, NJ",Not available
Data Analyst - Entry Level,"Analyze and manage data using SAS, R, SQL and other statistical programming languages as required. The role of Analytics team is to design innovative analytic...",Cobbs Creek Healthcare LLC,"Newtown Square, PA",Not available
Data Analyst,"Acquire data from primary or secondary data sources and maintain databases/data systems. Develop and implement databases, data collection systems, data...",Vaco,"Springfield, MA","$40,000 - $45,000 a year"
DATA ANALYST,"IXIS is seeking an energetic, business data analyst with experience in data processing and statistics (descriptive and inferential) to fill the position of Data...",IXIS,"Burlington, VT 05401",Not available
"Associate Analyst, Data Analytics",QC data exchanges to and from CMI. Maintain archiving system architecture for all data assets. Upload target buy file data against client supplied list as...,"CMI Media and Compas, Inc.","Cherry Hill, NJ",Not available
Data Analyst,"Collect, clean, and link data from disparate data sources to test quality / usefulness of data. We are seeking a Data Analyst to join our team....",Munich Re America,"Princeton, NJ",Not available
Sales Data Entry Analyst,Attention to detail is extremely important as you will be entering data and editing radiation equipment orders from multiple facilities across the country....,Burlington Medical,"Newport News, VA 23603",$14 - $17 an hour
Data Analyst,"To be considered for a Data Analyst position, individuals will possess the following:. Independently managing data collection and data processing on projects...",Phoenix Marketing International,"Framingham, MA 01701",Not available
Data Analyst,The Data Analyst will possess strong analytical capabilities. The Data Analyst position will help manage and support client accounts....,"FiberTel, Inc.","Springville, UT 84663",Not available
Data Analyst,"The ideal candidate has a solid understanding of data types, data stores, data management and visualization tools....",Informa,"Boulder, CO 80301",Not available
Clinical Data Analyst,The Clinical Data Analyst also pull data out of a data warehouse using queries and scripts. The Data and Reporting Professional 2 integrates data from multiple...,Humana,"Cary, NC",Not available
Jr. Data Analyst,JD...,doxo,"Seattle, WA 98104 (First Hill area)",Not available
2019 University Graduate - Product/Data Analyst,"Data visualization skills. We're looking for Data Analysts across many Uber businesses to provide data expertise as we drive growth, retention, engagement, and...",Uber,"San Francisco, CA 94103 (South Of Market area)",Not available
Data Analyst,"The Grand Healthcare is actively seeking for a Entry Level Data Analyst. Work independently, or in teams on complex level data gathering, checking, manipulation...",The Grand Corporate,"Queens, NY",Not available
DATA ANALYST,"The Data Analyst position will assist the Clinical Integration Department with data validation and reporting efforts to ensure timely, actionable, and accurate...",Tift Regional Health,Georgia,Not available
"Analyst, Data Analytics",Maintain all client and internal data spec for engagement data. QC data exchanges to and from CMI. Maintain archiving system architecture for all data assets....,"CMI Media and Compas, Inc.","Cherry Hill, NJ",Not available
Data Analyst,"Acquire data from primary or secondary data sources and maintain databases/data systems. Our client, Swift Shift, is seeking a Data Analyst to join their...",qualifIQ,"New York, NY","$60,000 - $75,000 a year"
DATA ANALYST PD,The role of the Cardiology Program Data Analyst Registered Nurse (Cardiology Data RN) is to oversee medical record abstraction for the Acute Myocardial...,GOOD SAMARITAN HOSPITAL,"Suffern, NY 10901",Not available
Data Analytics Reporting Developer - UHC M&R - Telecommute,"Collaborate with cross functional teams that include Business Analysts, Quality Assurance Analysts, Product Leads/Owners and Business Stakeholders....",UnitedHealth Group,"Eden Prairie, MN 55344",Not available
Compliance Analyst,"Analyze data as it pertains to CMS/Part C and/or Part D reporting through the use and development of analytical, tracking, and data management tools....",Provider Partners Health Plan (PPHP),"Linthicum Heights, MD",Not available
"Analyst (Senior), Sales Data Management and Reporting","Develops agency reporting and analytics data models using SQL, R, and PowerBI to inegrate with Teradata enterprise data warehouse....",American Airlines,"Fort Worth, TX",Not available
Inventory Analyst,The Inventory Analyst will ensure adherence to established data standards. The Inventory Analyst will analyze data to identify problematic areas and suggest...,Orange Regional Medical Center,"Middletown, NY 10940",Not available
Data Analyst,"$30,000 - $65,000 a year


                            The Data Analyst will capture requirements, design, create, manage, and fulfill requests for reporting and analytics....",Steel Warehouse,"South Bend, IN","$30,000 - $65,000 a year"
Statistical Analyst,"$70,000 - $76,000 a year


                            And we’re specifically looking for a talented statistician or data scientist for our fast-paced Franklin, TN office....",Renken LLC,"Franklin, TN 37064","$70,000 - $76,000 a year"
Data Analyst,"Internally, the Data Analyst works both independently and in collaboration with Information Technology and other data stewards to develop, support and promote...",William Paterson University of New Jersey,"Wayne, NJ 07470",Not available
Entry level Data Analyst,"Maintain/update/create technical specifications like data mapping, data flows, dashboard content, data dictionaries, relational diagrams,....",EB Solutions INC,"Falls Church, VA","$50,000 - $90,000 a year"
DATA MANAGEMENT ANALYST,"Provide updates on operational issues including missing data, ETL loading, web crawlers, and automated data retrieval....",TransUnion,"Cherry Hill, NJ",Not available
Data Analyst,"Data Analyst Share. Similarly, the Data Analyst will respond to data requests from the university community. The Data Analyst serves in a customer service role...","The University of Connecticut Foundation, Inc.","Storrs, CT",Not available
"Data Engineer (Analyst), Global Analytics",For this role the Analyst will quickly understand an existing data Eco-system which incorporates both internal and external data sources & systems....,Ralph Lauren,"Lyndhurst, NJ 07071",Not available
DATA ANALYST PD,The role of the Cardiology Program Data Analyst Registered Nurse (Cardiology Data RN) is to oversee medical record abstraction for the Acute Myocardial...,GOOD SAMARITAN HOSPITAL,"Suffern, NY 10901",Not available
Research Data Analyst,"Our client, Genesis Research, is hiring a Research Data Analyst to join their growing team based in Hoboken, New Jersey....",qualifIQ,"Hoboken, NJ","$70,000 - $130,000 a year"
Data Analyst,"The Data Analyst position will be responsible for handling a wide array of file types, utilizing our software to import data, and performing analysis in Excel...",Dining Alliance,"New London, CT 06320",Not available
Data Analyst I,"The position is responsible for assisting with the client database system (ETO) and research efforts through data entry, data maintenance and cleaning, data...","House of Ruth Maryland, Inc.","Baltimore, MD 21218 (Midway-Coldstream area)",Not available
"BACI - Business Analyst, Continuous Improvement",Leverage strong data extraction and conditioning skills necessary to build analytical models across a multitude of internal and external data sources...,"RetailData, LLC.","Glen Allen, VA 23060",Not available
Financial Reporting Analyst,"$75,000 - $90,000 a year


                            Maintain the data base:. The Financial Reporting Analyst will be expected to:. Must be very detail oriented and have strong organizational, verbal and written...",CCL Label,"Framingham, MA 01701","$75,000 - $90,000 a year"
Data Developer / Analyst,Our Client is requesting a Data Developer with strong database (MySQL or Postgres) skills along with a strong curiosity about data and numbers....,"BIS Consulting, Inc, on behalf of large enterprise Client","Raleigh, NC",Not available
Junior Data Entry Analyst,"Responsible for all aspects of data management, which may include tracking data, validating, and extracting....",RemX Specialty Staffing,"Glen Allen, VA 23060",Not available
Entry level Business Analyst,"Business Analyst Overview:. Business analysts are sometimes referred to as management analysts, business continuity planners or business operations specialists....",EB Solutions INC,"Falls Church, VA","$50,000 - $90,000 a year"
Data Analyst (Regular Full-time),"Dealing with data providers in internal client organizations, specifically in the development of data requests, checking of data received, and follow up with...",Electronic Arts,"Orlando, FL",Not available
EHS Data Analyst,A manufacturing company is currently seeking an EHS Data Analyst to be based out of their corporate office in northern New Jersey....,Shirley Parsons,"Ramsey, NJ","$85,000 a year"
Data Analyst,"Integrate data from multiple data sets, analyze and interpret complex data sets and make findings relevant and actionable for both internal and external...","COLLABORAIT, INC","Falls Church, VA 22046",Not available
Data Analyst Apprentice,Responsibilities include assisting with collecting and organizing data to provide business insight. Assist with providing technical data solutions and analysis...,Children's Hospital of Wisconsin,"Milwaukee, WI",Not available
Data Analyst,Must currently hold the Civil Service Title of Data Analyst in Permanent Status*. This position is responsible for the District’s submissions to the State Data...,Yorktown Central School District,"Yorktown Heights, NY 10598","$50,000 - $75,000 a year"
Data Analyst,"OFA is seeking a Data Analyst to assist in the gathering, analysis, and reporting of faculty data. Reconcile data discrepancies between different data sources....",Harvard University,"Cambridge, MA",Not available
"Business Analyst, Online Operations","Manage data related projects. Develop and enhance data pipelines, workflows and queries based on large data sets....",Google,"Mountain View, CA",Not available
Data Analyst,"Data Analyst – E-commerce analysis using SPSS, SAC. Troubleshoots data integrity issues, analyzes data for completeness to meet business needs, and proposes...",SICL America,"Cinnaminson, NJ",Not available
Data Analyst IV,"We are seeking a talented Data Analyst who has experience in performing the following activities. Experience working with large data sets, producing and clearly...",Common Securitization Solutions,"Pasadena, CA 91101",Not available
Data Quality Analyst,"$50 an hour


                            2+ years interpreting data models, data dictionaries and queries. The role of the Data Quality Analyst is to ensure the quality and completeness of data across...",Columbia Consulting Group,"Philadelphia, PA",$50 an hour
Application Development Analyst,Strong background in structured systems and data analysis preferred. Strives to consistently meet established SLAs for system availability by sharing support...,Burlington Stores,"Burlington, NJ 08016",Not available
Reporting Analyst,FIS is seeking a Reporting Analyst who will be responsible for completing a wide range of reports which are both recurring and ad-hoc using a variety of data...,FIS,"Secaucus, NJ 07094",Not available
Sr. Municipal Data Analyst,"Review work performed by junior analysts. Conduct ad hoc municipal research and data querying, gathering and validation projects....","Lumesis, Inc.","Stamford, CT 06901 (Downtown area)",Not available
Proposal Analyst Staff,This position will develop and analyze proposal data. This position will require analysis of historical data and development of cost models to support proposal...,LOCKHEED MARTIN CORPORATION,"Grand Prairie, TX 75051",Not available
Data Analyst,Identifying data anomalies and communicating back to the data stewards. Associates or better in Data Processing or related field....,United Performance Metals,"Hamilton, OH 45015",Not available
Continuous Improvement Analyst,"Able to gather & analysis data. Ability to ask the right questions to get the necessary detail. TO MANAGE, DEVELOP, MONITOR, ADMINISTRATE, CONTROL, DELIVER,...",YOOX NET-A-PORTER GROUP,"Mahwah, NJ",Not available
Data Insights Analyst,Data Insights Analyst. Modify and create data warehouse specifications based on data requests. This position also serves as data steward for supported business...,Daimler,"Farmington Hills, MI",Not available
Data Analyst,Experience in dealing with large data sets. Suitable candidate will be heavily involved in developing a Big-data driven Application-Framework with a strong...,Mastech Digital,"New York, NY",$50 - $60 an hour
UofF Learning Data Analyst,"Performs exploratory data analysis, cleanses, massages, and aggregates data; The Learning Data Analyst applies knowledge in quantitative analysis, and the...",Farmers Insurance Group,United States,Not available
"Entry Level, Data Acquisition Analyst",Assist the Data Acquisition Manager on various projects as needed. The incumbent will facilitate the acquisition of financial data from across our client base...,IHS Markit,"Nashville, TN",Not available
Data Analyst Supporting the DEA,A Data Analyst executes the following duties:. A Data Analyst must meet the following qualifications:. Ability to enter and retrieve data from data bases....,FSA,"Weston, FL 33326",Not available
"Product Analyst, Data Science",You will weave stories with meaningful insight from data. Data Scientists are changing the world one technological achievement after another....,Google,"Seattle, WA",Not available
Audit Data Analyst,"3 - 5 years data analysis, data management and/or financial analysis. Create data models at data base levels....",The Coca-Cola Company,"Atlanta, GA 30301 (Buckhead area)",Not available
Sales Analyst,"Due to significant business growth, we are currently seeking a Sales Analyst for our office in Tarrytown, NY....",The Cookware Company,"Tarrytown, NY",Not available
Accounts Receivable Analyst,"3 years (Preferred). Additionally, schedules detail account activity to ensure agreement with general ledger. Issues monthly Accounts Receivable summary report...",Berkshire Corporation,"Great Barrington, MA 01230",Not available
Business Analyst,2-4 years of Business Analyst experience required. The business analyst is responsible for analyzing and modeling existing business processes....,Atrient,"Las Vegas, NV",Not available
Data Analyst,"Data Analyst - 18124773. Gathers, analyzes and reports accurate business and financial data that is critical to business decisions and utilizes critical...",Hill-Rom,"Cary, NC",Not available
Junior Data Analyst,"Bad data or no data). Analytical mindset, and enjoys grappling with complex problems involving numbers, data, and data structures....","Dobility, Inc. (SurveyCTO)","Cambridge, MA","$55,000 - $80,000 a year"
"Junior Data Analyst, (CG-LIMS)","VectorCSP is looking for an experienced Junior Data Analyst to work in the Elizabeth City, NC area. Supports CG-LIMS integration and evaluation into the USCG...",Vector CSP,"Elizabeth City, NC 27909",Not available
Marketing Data Analyst,"Assure integrity of project data (extraction, storage, manipulation, processing and analysis of data). As a Marketing Data Analyst, you will monitor and...",American Express,"New York, NY",Not available
DEMAND PLANNING ANALYST DATA & ANALYTICS 1,"Your task as a Demand Planning Analyst, Data & Analytics is to create and develop all operational reporting across Business Units (BU) and channels within the...",Adidas,"Portland, OR",Not available
Marketing Data Analyst (Remote Option),Build the marketing data infrastructure and data processes needed to scale. Excellent data visualization skills....,Singularity University,"Mountain View, CA 94035",Not available
Visualization Analytics Analyst,Data Visualization geek. Has a genuine interest in data visualization and a passion for using data to tell stories....,Lenovo,"Raleigh, NC 27616 (Northeast area)",Not available
Associate Data Analyst,"As a Data Analyst, you will be responsible for looking at data across multiple channels; This Data Analyst role will be responsible for measuring and analyzing...",JP Morgan Chase,"Wilmington, DE 19801",Not available
Data Analyst,Ability to organize data using critical thinking. Work with multiple departments to analyze data and processes....,Dilmar Oil Company,"Florence, SC 29501",Not available
Data Analyst - Mom and Baby,Job Description - Mom and Baby Data Analyst. Use applicable data to help identify trends and convert raw data into actionable information....,Aeroflow Healthcare,"Asheville, NC 28803",Not available
Data Governance Analyst - REMOTE,"$50 - $65 an hour


                            Business Data Analyst V. The main function of a Data Governance Analyst is to support the business line's Data Governance Team and Data Steward with completing...",Infotek Consulting Services Inc.,"Mount Laurel, NJ 08054",$50 - $65 an hour
Mid-Level Data Scientist,"For 3 of the last 5 years? 2+ years using data mining methods, such as clustering and anomaly detection, to understand data patterns and select appropriate...","ASR Analytics, LLC","Washington, DC",Not available
Data Analyst/ Specialist,"Data Analyst/ Specialist*. Map data across platforms. GemFind is looking for an innovative, full-time, on-site Data Analyst/ Specialistto join our team of...",GemFind,"Newport Beach, CA",Not available
Data Analyst I,"Create report and data reconciliation through Access, Excel, Business Objects and other reporting tools, to include provider data, claims data, membership data....",Centene Corporation,"New York, NY 10022 (Midtown area)",Not available
Physics Data Analyst (Medical Physics Assistant),"The Physics Data Analyst will assist in the collection of quality assurance data with various radiation detectors (EPID, ion chambers, diodes, survey meters,...",Emory,"Atlanta, GA 30311 (Cascade Heights area)",Not available
Data Analyst,3 to 5 years of experience in a data analyst or relevant role. Outstanding background in data manipulation and data formatting....,"Resolvit, LLC","Raleigh, NC",Not available
Data Analyst,"A minimum of 5 years' experience data analysis, data science or business intelligence. We’re searching for a talented Data Analyst who is highly skilled in...",Procare Software,"Denver, CO",Not available
DATA ANALYST,"Analyze data for inconsistencies, data gaps and data governance failures; Utilize infographics, data visualization, photographs, and other visual means for...",U.S. Federal Government,"Washington, DC","$68,036 - $106,012 a year"
Data Analyst,The Data Analyst will be responsible for supportive IT and operational functions; The Data Analyst works directly with the faculty for the Master of Science...,Hofstra University,"Hempstead, NY",Not available
"Data Analyst, Business Intelligence - Entry level","This role will also be responsible for the creation, design and execution of Call Plans, Targeting assignments, Sales Force Optimization & Alignments, and...",Syneos Health Commercial Solutions,"Somerset, NJ",Not available
Athlete Data Analyst,"Experience with managing and analyzing large data sets. Ability to parse large data sets using Python, MATLAB, or other scripting tool....",NIKE INC,"Portland, OR 97204 (Downtown area)",Not available
"Data Analyst, Users and Products","As a Data Analyst, you’ll be working hands-on with Product, and Operations data, identifying the underlying drivers of the data, using that knowledge to make...",Google,"Boulder, CO 80302",Not available
Data Analyst - TS/SCI,"Knowledge of data mining, machine learning, data visualization and statistical modeling. Implement large-scale data ecosystems including data management,...",Deloitte,"Dayton, OH",Not available
Data Analyst 1,"Knowledge, Skills, and Abilities for data Analyst I:. The Data Analyst position carries out those duties needed to successfully implement client data, implement...",Avadyne Health,"Des Moines, IA",Not available
Data Analyst,The Data Analyst will perform activities related to data transfers between internal and external parties from multiple systems using ETL tools and/or SQL...,Healthmap Solutions,"Tampa, FL 33602 (Downtown area)",Not available
HCM Data Analytic Subject Matter Expert,Work side by side with Data Engineers and Analysts providing guidance on areas of data to explore and to define....,ADP,"New York, NY 10010 (Gramercy area)",Not available
IT Systems Analyst - Multiple Locations,"Data analysis skills. You'll be using complex data to support business decisions and you'll need to demonstrate collaborative, creative and conceptual thinking....",UnitedHealth Group,"Boston, MA 02298 (Central area)",Not available
Junior Data Analyst,Junior Data Analyst and Project Manager (Media Buyer). VS Media is currently looking for an organized and thoughtful Junior Data Analyst and Project Manager to...,VS Media,"Westlake Village, CA 91361",Not available
DATA ANALYST C,"The Data Analyst will assist the PI with analysis of data and writing of scientific manuscripts and grants. Data exploration and visualization in R, including...",University of Pennsylvania,"Philadelphia, PA",Not available
American Express Campus Undergraduate – Data Analytics Full-...,American Express Campus Undergraduate – Data Analytics. Strong analytical skills and demonstrated knowledge of data extraction and analysis techniques using...,American Express,United States,Not available
Data Analyst / Data Scientist,Call Center or Customer care data experience a plus. Must be able to write SQL queries and must have experience with data extraction....,Defined Clarity,"Cherry Hill, NJ",$65 - $75 an hour
Jr. Data Research Analyst,"Data Research Analyst to join our Virginia Beach, VA team. Performs the pre-analytics areas of data collection and understanding, data cleansing and integration...",SAIC,"Virginia Beach, VA",Not available
Data Analyst (Entry Level),"In this position, the Data Analyst may be required to:. Collect and analyze data requests (request for proposal) from sales team, collect data from business...",HEICO,"Hollywood, FL 33021",Not available
Healthcare Data Analyst,"Ensures integrity of data and data process. Minimum of 5 years experience working with healthcare data, quality management, performance management, public...",Catholic Health Services of Long Island,"Garden City, NY",Not available
Data Analyst,Minimum 5 years of experience working with pharmaceutical data in a team-driven environment. Ability to evaluate insights from data analysis and suggest data...,Asembia,"Florham Park, NJ",Not available
Data Analyst,Data Warehousing (e.g. 3+ years’ experience working with fast-moving marketing teams in a data analyst or development capacity....,Continuum,"Silicon Valley, CA",Not available
Data & Reporting Analyst,"Create solutions for maintaining data integrity and database efficiency. MySQL syntax, data warehousing techniques and best practices, SSMS database management....",AccruePartners,"Charlotte, NC",Not available
Business Intelligence Designer - Data Reporting,"Collaborate with database administrators, data scientists, and other data engineers to understand underlying database structures/tables, field definitions/uses,...",United Fire Group,"Cedar Rapids, IA",Not available
CL Data Analyst II,The Commercial Lines Data Analyst Sr. The Arbella Commercial Lines Data Analyst Sr. Project Leadership - Lead and provide guidance to less senior data analysts...,Arbella Insurance Group,"Quincy, MA",Not available
Big Data Engineer,"Partner with a x-functional team of Architects, Data scientists, Data engineers, Analysts, PMs, and customers. We are looking for a Big Data Engineer....",Cognizant,"Woodland Hills, CA",Not available
GD108 Earth Data Support Scientist,Experience in an operational data center or with large data storage systems. GD108 Earth Data Support Scientist....,"ADNET Systems, Inc.","Greenbelt, MD 20771",Not available
Data Analyst,"Performs data analysis, report writing and dashboard creation for various university areas and identifies data trends and opportunities for improvement....",Johnson & Wales University,"Providence, RI",Not available
Data Analyst II,"Regression techniques), data mining, econometrics; Demonstrated experience with data visualization techniques;...",Emory,"Atlanta, GA 30311 (Cascade Heights area)",Not available
Entry Level Business Analyst,"Ability to analyze data, develop fact-based opinions of the relationships within that data, and present ideas / recommendations for resolving issues....",Underwriters Laboratories,"Bentonville, AR",Not available
Data Analytics Analyst,General Dynamics Information Technology (GDIT) is seeking a strong Data Analytics Analyst / PL/SQL Developer ....,CSRA,Remote,Not available
Data Analyst,"Business analytics and data visualization experience. Effectively use data visualization, in summaries and/or dashboards, to enhance translation of data and...",Waste Management,"Windsor, CT 06095",Not available
Data Analyst 1 - Electricity,Data Analyst duties include:. Supporting the data validation team in resolving data issues. Reviewing data edits to ensure accuracy of the reported data....,IMG Crown Energy Services Joint Venture,"Washington, DC 20585","$42,000 - $45,000 a year"
Data Analyst,The Data Analyst will work in collaboration with team members in the department to execute the undergraduate data strategy and will also support key initiatives...,National Louis University,"Chicago, IL 60603 (Loop area)",Not available
"Data Science, Analyst",Utilize emerging data technologies and techniques to support data driven problem solving solutions. Drive data engineering activities;...,Prudential,"Roseland, NJ",Not available
Data Analyst / Scientist [Full-time or intern)],"As our first Data Analyst / Scientist, you’ll be very autonomous and build this team from scratch. A data nerd - you are highly confortable with basic languages...",Plato HQ,"San Francisco, CA",Not available
Data Scientist,"Work closely with analysts, data scientists, product managers, and engineers. Data scale ranges from small data sets to large multi-terabyte clinical...",Grand Rounds,"San Francisco, CA 94107 (South Of Market area)",Not available
IT Support and Business Analyst,"Perform root cause analysis as a means of addressing data issues, cost savings, risk avoidance, productivity improvements, or revenue-generating business...",Burt Process Equipment,"Hamden, CT 06514",Not available
Pipeline Data Analyst,"The main function of the Data Analyst II is to perform analysis, review, reconciliation and/or entry of inspection or maintenance-related data into commercial...",Applus,"Houston, TX",Not available
Data Analyst - Analytic Solutions,Experience with data analysis. Analyze data to drive better business decisions. Develop complex programming to extract and manipulate data....,Credit Acceptance,"Southfield, MI 48034",Not available
Associate Data Analyst,Do you have a knack for data and a keen eye for detail? High comfort level with quantitative data and analysis....,Global Strategy Group,"Washington, DC",Not available
Data Analyst,The Data Analyst will be required to analyze much of the information that Alegeus captures in it various data stores....,Alegeus Technologies,"Maitland, FL",Not available
"Data Integration Analyst (Full Time, Starting Summer 2019)","Data Integration Analyst (Full Time, Starting Summer 2019). Develop recommendations for internal leadership around preferred data integration methodologies....",EAB,"Washington, DC 20036 (Downtown area)",Not available
Data Analyst,At least 1-3 years of experience as a data analyst or business data analyst. We are looking for a Data Analyst to work in a fast-paced startup-like environment...,Kepler,"New York, NY 10011 (Chelsea area)","$90,000 - $100,000 a year"
Data Analyst,"CATA, a two-time recipient of the FTA Administrator’s Award for Outstanding Public Service, is seeking a full time Data Analyst to join our team!....",Crawford Area Transportation Authority,"Meadville, PA 16335","$30,000 - $36,000 a year"
Entry Level Data Analyst,"Development of Data Collection Processes and Data Management Systems. Initiative to Develop Tools, Data Collection Processes, and Data Management System....","Fanatics, Inc","Las Vegas, NV",Not available
Data Analyst,Help populate the tables with data and do data regressions to understand the key parameters that may be indicative of fraud....,Paypal,"San Jose, CA",Not available
Data Analyst - Aviation,Experience working with large data sets. Use data visualization to distill complicated spatio-temporal data into easy to digest summaries that are used to...,Uber,"San Francisco, CA 94107 (South Of Market area)",Not available
Hydrographic Data Analyst,This position involves primarily office work in OSI's data processing group. Duties include using custom and commercially available software to process...,"Ocean Surveys, Inc.",United States,Not available
ITS Application Analyst,"This analyst performs workflow analysis, and design sessions with Subject Matter Experts. The analyst will follow internal CareConnect build, change control and...",Hartford HealthCare Corp.,"Farmington, CT",Not available
Senior SCM Systems Analyst,Responsible for monitoring and maintaining master data and work with data owners to maintain up-to-date data....,LG Electronics,"Englewood Cliffs, NJ",Not available
Strategic Sourcing Analyst,"Would you be comfortable working in a data driven role? We are looking for someone that wants to grow their career in procurement, and is excited about working...",Burlington Stores,"Burlington, NJ 08016",Not available
18869 Data Steward - Expert,"Provide analysts with access to essential data sets. Data Manager responsibilities. DATA MANAGER (CREVE COEUR, MO) $104,000....",s•com,"Chesterfield, MO",Not available
