,Company,Location,Salary,Summary,Title,Job Category,City,State Code,ZIP,Area
46,Cigna,"Bloomfield, CT 06002",Not available,"The Insights and Analytics Sr Specialist will be responsible for accurate data collection, processing, modeling, and analysis....",Insights and Analytics Senior Specialist,Analytics,Bloomfield,CT,06002,
47,Thermo Fisher Scientific,"Fair Lawn, NJ 07410",Not available,"This role will require strong partnership with regional and functional analysts to develop, and execute, various reporting, analytics, and dashboard initiatives...",Data Science Analyst,Data Analyst,Fair Lawn,NJ,07410,
48,Novo Nordisk,"Plainsboro, NJ",Not available,"Reporting into this position are the Diabetes Insights & Analytics leads, Associate Director Obesity Insights & Analytics, Director Biopharm Insights &...",Vice President - Insight and Analytics Job,Analytics,Plainsboro,NJ,,
49,Penn State University,"University Park, PA",Not available,Penn State Human Resources is searching for an HR Analytics Consultant to join the newly formed Operational Excellence team....,Analysis and Planning Consultant (HR Analytics Consultant),Analytics,University Park,PA,,
50,National Security Agency,"Fort Meade, MD","$45,972 - $73,105 a year","$45,972 - $73,105 a year


                            PMs leverage their expertise from a variety of areas (e.g., computer science, systems engineering, infrastructure and logistics, intelligence and language...",Program Manager - Entry Level,Management,Fort Meade,MD,,
51,Liberty Mutual,"Boston, MA","$75,000 - $95,000 a year","$75,000 - $95,000 a year


                            Familiar with Web Analytics tools, such as Adobe SiteCatalyst, Google Analytics. Liberty Mutual has built one of the industry’s leading Digital Marketing...","Analyst, Digital Marketing Analytics",Analytics,Boston,MA,,
52,CPS Energy,"San Antonio, TX 78205 (Downtown area)",Not available,"The Safety Analytics team is looking for a Data Science Intern to join our team who will perform statistical data analysis, data mining, and optimizations using...",Intern - Data Science,Internship,San Antonio,TX,78205,(Downtown area)
53,Baltimore Orioles,"Baltimore, MD 21201 (Downtown area)",Not available,"Analyst, Baseball Analytics*. Deep passion for baseball and baseball analytics. Master’s Degree in Statistics, Analytics, Operations Research, Mathematics,...","Analytics, Baseball Analytics",Analytics,Baltimore,MD,21201,(Downtown area)
54,Bristol-Myers Squibb,"Township of Lawrence, NJ 08648",Not available,7+ years of experience developing and using advanced analytics and reporting techniques in the pharmaceutical industry....,Associate Director US Innovative Medicines Analytics,Analytics,Township of Lawrence,NJ,08648,
55,Asembia LLC,"Florham Park, NJ",Not available,"The VP, will influence and provide expertise on HIPAA Privacy / Compliance, Strategy, and other data functions across the organization by establishing the...",VP of Data Analytics and Reporting,Analytics,Florham Park,NJ,,
56,Teksouth Corporation,United States,Not available,Data Analytics (Remote/Travel). Teksouth has a current need for a REMOTE Desktop Analytics Developer. Excellent opportunity to take your career to the next...,Data Analytics (Remote/Travel),Analytics,United States,,,
57,Pfizer,"Madison, NJ 07940",Not available,"Undergraduate degree required (Finance, Marketing, Business, Science, or Data Analytics); Experience in supporting portfolio & pipeline management or data...",OFG - Sr Manager Portfolio Analysis and Reporting - Pfizer C...,Management,Madison,NJ,07940,
58,Novartis,"East Hanover, NJ",Not available,"Rapidly problem solve and resolve data and performance issues for Franchise PSS Analytics as needed, working closely with IT, DS&E, Analytics, Sales & Marketing...","Director, PSS Analytics & Effectiveness (Migraine)",Analytics,East Hanover,NJ,,
59,Bristol-Myers Squibb,"Princeton, NJ 08541",Not available,"1-4 years of experience data management or healthcare analytics. Collaborates closely with other Business Insight & Analytics groups (including Analytics,...","Manager, Data Strategy & Analytics",Analytics,Princeton,NJ,08541,
60,Pfizer,"New York, NY 10017 (Midtown area)",Not available,"The Scaled Analytics - Americas team is a regionally-focused BA team that utilizes advanced analytic techniques to address key business questions, provide...","Senior Manager, Scaled Analytics - Americas",Analytics,New York,NY,10017,(Midtown area)
61,Cigna,United States,Not available,"The Business Analytics Lead Analyst may also assist with key Service Operations functional tasks such as ticket prioritization, audit readiness as well as AEP...",Business Analytics Lead Analyst - Operations Intelligence,Analytics,United States,,,
62,The Madison Square Garden Company,"New York, NY 10121 (Chelsea area)",Not available,"The Manager, Business Solutions-Partnership Analytics will work closely with the Account Management and Sales teams to deliver solutions for all analytics...",Manager Business Solutions - Partnership Analytics,Analytics,New York,NY,10121,(Chelsea area)
63,Teva Pharmaceutical Industries Ltd.,"Parsippany, NJ 07054",Not available,"Experience with advanced analytics tools (R, SAS, Python), “big data” technologies, and advanced analytics techniques....","Director, Advanced Analytics",Analytics,Parsippany,NJ,07054,
64,MSD,"Kenilworth, NJ",Not available,"Merck & Co., Inc. Kenilworth, N.J., U.S.A. known as Merck in the United States and Canada, is a global health care leader with a diversified portfolio of...","Associate Director, Compliance, Data Strategy & Analytics -...",Analytics,Kenilworth,NJ,,
65,Holy Name Medical Center,"Teaneck, NJ",Not available,Proficiency with analytics software and solutions is required. The Data Science Statistician is responsible for statistical analytic efforts of for research and...,Data Science Statistian,Other,Teaneck,NJ,,
66,Hackensack University Med Cntr,"Hackensack, NJ",Not available,"Demonstrated history of driving and delivering analytics models and solutions. The Manager, Patient Experience Analytics will be a hands on data scientist who...","Manager, Patient Experience Analytics",Analytics,Hackensack,NJ,,
67,Google,"New York, NY 10011 (Chelsea area)",Not available,Experience with analytics and a data-driven approach to plans and solutions. By applying to this position your application is automatically submitted to the...,Strategic Planning and Insights Lead,Management,New York,NY,10011,(Chelsea area)
68,Magellan Health,"Branchburg, NJ 08876",Not available,"Analytics (including reporting). SVP, Data Strategy and Analytics. This position is responsible for driving business performance results related to the overall...","SVP, Data Strategy and Analytics",Analytics,Branchburg,NJ,08876,
69,DISNEY,"New York, NY 10036",Not available,"This role requires hands-on experience with Adobe (formerly Omniture) Analytics tools, DTM and Tealium. 2+ years’ experience implementing Adobe web analytics...",Analytics Tagging Specialist,Analytics,New York,NY,10036,
70,Teva Pharmaceutical Industries Ltd.,"Parsippany, NJ 07054",Not available,Proven analytics experience in pharma and proven working experience in a large global company. Responsible for driving proper reporting of operational KPIs for...,Associate Director Analytics and PMO,Analytics,Parsippany,NJ,07054,
71,Merck USA,"Kenilworth, NJ",Not available,"Requisition ID: COM000751 Merck & Co., Inc. Kenilworth, N.J., U.S.A. known as Merck in the United States and Canada, is a global health care leader with a...","Associate Director, Compliance, Data Strategy & Analytics -...",Analytics,Kenilworth,NJ,,
72,UBS,"Jersey City, NJ 07310 (Downtown area)",Not available,"An understanding of data management, data governance and analytics. Do you see data as an asset and understand the importance data plays within the business...",C&ORC Data Strategy Analyst,Data Analyst,Jersey City,NJ,07310,(Downtown area)
73,The Madison Square Garden Company,"New York, NY 10121 (Chelsea area)",Not available,"The Manager, People Practices Reporting and Analytics will be responsible for the critical management of all Human Resources (People Practices) analytics and...",Manager People Practices Reporting & Analytics,Analytics,New York,NY,10121,(Chelsea area)
74,EarlyConnect,"Ridgefield Park, NJ","$7,700 - $8,900 a month","Deploying data analytic platforms:. Data analytics technologies(BI, Machine Learning):. Expertize in programmatic analytics (online or DOOH)....",Senior Data analytic Consultant,Analytics,Ridgefield Park,NJ,,
75,Par Pharmaceutical an Endo International Company,"Chestnut Ridge, NY",Not available,"The Analyst, Marketing & Business Analytics is responsible for supporting the Commercial IMS reporting and analysis process....","Analyst, Marketing & Business Analytics",Analytics,Chestnut Ridge,NY,,
76,Baltimore Orioles,"Baltimore, MD 21201 (Downtown area)",Not available,"Assistant GM, Analytics. Deep passion for baseball and baseball analytics. Master’s Degree in Statistics, Analytics, Operations Research, Mathematics, Computer...","Analyst, Baseball Analytics",Analytics,Baltimore,MD,21201,(Downtown area)
77,ESPN,"Bristol, CT",Not available,Hire and evaluate performance of the Analytics team members. The Director will educate and work with ESPN Production teams on using these analytics in...,"Director, Sports Analytics",Analytics,Bristol,CT,,
78,Deloitte,"Parsippany, NJ",Not available,Research Manager - People Analytics - Bersin. An established network and positive brand in the Employee Experience or People Analytics space....,Research Manager - People Analytics - Bersin,Analytics,Parsippany,NJ,,
79,"Giant Eagle, Inc.","Pittsburgh, PA 15238",Not available,3+ Years building reporting and analytic tools. Manage day-to-day activities of two analysts and key analytic vendors....,"Manager, Analytics/Insights",Analytics,Pittsburgh,PA,15238,
80,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",Not available,"3+ years experience analyzing digital marketing performance with best-in-class web analytic tools (Google Analytics, Adobe, Webtrends, CoreMetrics, etc)....",Marketing Analytics,Analytics,Jersey City,NJ,07310,(Downtown area)
81,Facebook,"Menlo Park, CA",Not available,Facebook is seeking an experienced Administrative Assistant to support our VP of Analytics and Director of Analytics....,"Administrative Assistant, Analytics",Analytics,Menlo Park,CA,,
82,"J.Crew Group, Inc.","New York, NY 10003 (Greenwich Village area)",Not available,"Power user of Omniture, Google Analytics, Tableau, Excel, and other BI tools. 3 – 5 years with experience with analytics in an ecommerce environment....","Manager, Marketing Analytics & Insights",Analytics,New York,NY,10003,(Greenwich Village area)
83,Paypal,"San Jose, CA",Not available,"Familiarity with web analytics (Google Analytics, Site Catalyst), statistical packages (SAS, R), and visualization tools (Qlikview, Tableau)....",Data Analytics (Entry Level),Analytics,San Jose,CA,,
84,Sony Music Entertainment,"New York, NY 10010 (Gramercy area)",Not available,Overview Sony Music Entertainment is a global recorded music company with a roster of current artists that includes a broad array of both local artists and...,"Analyst, Promotion Data & Analytics",Analytics,New York,NY,10010,(Gramercy area)
85,AbbVie,"Lake County, IL",Not available,The Senior Analytics Analyst will use a broad understanding of the business strategic needs to drive analytics efforts across disciplines and subject areas for...,Senior Analytics Analyst,Analytics,Lake County,IL,,
86,McKinsey & Company,"Atlanta, GA 30318 (Rockdale area)",Not available,"You’ll work with GC Analytics (GCI), by McKinsey, in Atlanta. Currently enrolled in an undergraduate or masters university program with planned graduation date...",Analyst - GCI Analytics - University Students,Analytics,Atlanta,GA,30318,(Rockdale area)
87,BMW of North America LLC.,"Woodcliff Lake, NJ 07677",Not available,"Perform advanced budget analytics that include trending, seasonality and de-seasonality projections, respectively....",P2P and Budget Analyst,Other,Woodcliff Lake,NJ,07677,
88,Deloitte,"Philadelphia, PA 19103",Not available,"Analytics and Cognitive. As part of Deloitte’s Strategy and Analytics talent group, Analytics & Cognitive is the premier data-powered and platform-enabled...",Data Science Consumer Products & Retail- Specialist Master,Other,Philadelphia,PA,19103,
89,Johnson & Johnson Family of Companies,"New Brunswick, NJ",Not available,"As a Corporate Governance Analytics Senior Specialist, you will:. Experience working with data analytics and reporting software is required....",Corporate Governance Analytics Senior Specialist,Analytics,New Brunswick,NJ,,
90,Johnson & Johnson Family of Companies,"Titusville, NJ",Not available,"Integrated analytics, finance, market research, business intelligence and/or forecasting. Manager, Integrated Analytics Franchise Strategy & Solutions,...","Sr. Manager, Integrated Analytics – Franchise Strategy & Sol...",Analytics,Titusville,NJ,,
91,Bristol-Myers Squibb,"Princeton, NJ 08540",Not available,"Work directly with Finance, BD and other analytics groups to inform ad hoc planning, in-licensing, acquisitions and divestitures....",Business Insights and Analytics Resource Manager,Analytics,Princeton,NJ,08540,
92,MasterCard,Missouri,Not available,Intermediate Data Analytics. Consultant Reporting and Speech Analytics. Works with various work streams to formulate solutions based on outcomes of reporting...,Consultant Reporting and Speech Analytics,Analytics,Missouri,,,
93,Cognizant,"East Hanover, NJ",Not available,Data Integration/Business Analytics domain experience. Pharma Data Analytics experience - primary skillset. Cognizant has immediate openings for a Pharma Data...,Pharma Data Analytics Specialist,Analytics,East Hanover,NJ,,
94,DISNEY,"New York, NY 10036",Not available,"Implementation and maintenance of our internal and third-party analytics platforms, including Adobe Analytics, Adobe Launch, Google Analytics, Adobe Target,...",Analytics Implementation Specialist,Analytics,New York,NY,10036,
95,BCD Travel,United States,Not available,"Senior Consultant - Intelligence and Analytics (Advito). This position is responsible will join BCD Travel's consulting team, Advito, and will assist with the...",Senior Consultant - Intelligence and Analytics (Advito),Analytics,United States,,,
96,Deloitte,"Philadelphia, PA 19103",Not available,"Strategy & Analytics. Strategy and Analytics - Retail Manager. The Consumer industry is focused on serving the changing consumer, who has rapidly evolving needs...","Strategy and Analytics - Retail Manager, Consumer and Indust...",Analytics,Philadelphia,PA,19103,
97,New Leaders for NS,"Newark, NJ",Not available,"The Associate, Qualitative Analytics reports to the Senior Manager, Data Strategy and Analytics. The Associate, Qualitative Analytics will be based out of a...","Associate, Qualitative Analytics",Analytics,Newark,NJ,,
98,Real Capital Analytics,"Campbell, CA 95008","$55,000 a year","$55,000 a year


                            Real Capital Analytics is excited to offer an opportunity to join its Research team based in San Jose, CA. Real Capital Analytics is an independent research...",Researcher,Research,Campbell,CA,95008,
101,Morgan Stanley,"New York, NY",Not available,"Vice President, Global Data Analytics & Reporting LeadLocation:. Company Profile Morgan Stanley is a leading global financial services firm providing a wide...","Vice President, Global Data Analytics & Reporting Lead",Analytics,New York,NY,,
102,GlaxoSmithKline,"Upper Providence, PA",Not available,"As Manager, Global Oncology Insights & Analytics you will be an integral member of a high-performing, cross-functional team accountable for the successful...","Manager, Global Oncology Insights & Analytics",Analytics,Upper Providence,PA,,
103,Deloitte,"Glen Mills, PA 19342",Not available,"Deloitte leads with purpose, solving complex issues for our clients and communities. Across disciplines and across borders, Deloitte Global supports our...",Deloitte Global- Data Scientist,Data Scientist,Glen Mills,PA,19342,
104,Hackensack University Med Cntr,"Hackensack, NJ",Not available,The Analytics Scientist/Consultant will partner and consult with internal and external departmental stakeholders to identify opportunities to apply analytic...,Analytics Advisor,Analytics,Hackensack,NJ,,
105,Humana,United States,Not available,Experience in a system analytics and/or data warehousing environment. The Senior Data and Reporting Professional generates ad hoc reports and regular datasets...,"Senior Data and Reporting Professional, Clocktower",Other,United States,,,
107,Deloitte,"Dallas, TX 75230 (North Dallas area)",Not available,"Architect for streaming log data analytics using AWS. Deloitte Consulting LLP seeks a Consultant, Strategy & Analytics, Analytics & Cognitive in Dallas, TX and...","Consultant, Strategy & Analytics, Analytics & Cognitive",Analytics,Dallas,TX,75230,(North Dallas area)
108,Google,"Mountain View, CA",Not available,"The Global Reporting and Analytics team provides business critical insights using analytics, ensures cross-functional alignment of goals and execution and helps...","Strategy and Operations Data Scientist , Go-to-Market",Data Scientist,Mountain View,CA,,
110,Stryker,"Allendale, NJ 07401",Not available,"IS Service Manager, BI & Analytics:. The IS Service Manager, BI & Analytics will be responsible for ensuring all BI & Analytics platforms/applications achieve...","IS Service Manager, BI & Analytics",Analytics,Allendale,NJ,07401,
111,Bristol-Myers Squibb,"Princeton, NJ 08541",Not available,"Work directly with Finance, BD and other analytics groups to inform ad hoc planning, in-licensing, acquisitions and divestitures....",Business Insights and Analytics Resource Manager,Analytics,Princeton,NJ,08541,
112,CVS Health,"Woonsocket, RI",Not available,"Work with technical partners to develop a Joint Analytic Dataset, enabling many analytic use cases across the enterprise....","Analytics, Director",Analytics,Woonsocket,RI,,
113,Hearst Magazines,"New York, NY",Not available,"5+ years analytics, research or insights experience. Hearst Digital Media is seeking a Senior Manager, Insights & Analytics....","Senior Manager, Insights & Analytics",Analytics,New York,NY,,
114,Deloitte,"Charlotte, NC",Not available,"Deloitte Consulting LLP seeks a Specialist Senior, Strategy & Analytics, Analytics & Cognitive in Charlotte, NC and various unanticipated Deloitte office...","Specialist Senior, Strategy & Analytics, Analytics & Cogniti...",Analytics,Charlotte,NC,,
115,Deloitte,"New York, NY 10004 (Financial District area)",Not available,"Customize data models relating to Procurement and Spend Analytics, including Purchase Cycline lines, Orders, and Accounts Payables Analytics using Kimball...","Specialist Master, Strategy & Analytics, Analytics & Cogniti...",Analytics,New York,NY,10004,(Financial District area)
116,General Electric,"Fort Worth, TX 76177",Not available,Ability to work with cross-functional teams to drive operationalization of analytic products and help teams to transform processes through analytics....,Sr Director - Data & Analytics-SPB,Analytics,Fort Worth,TX,76177,
117,Conde Nast,"New York, NY 10007 (Financial District area)",Not available,"Experience with reporting and analysis with a major web analytics tool such as Omniture or Google Analytics. The ideal candidate is proficient in SQL, digital...","Senior Analyst, Product Analytics",Analytics,New York,NY,10007,(Financial District area)
118,Novartis,"East Hanover, NJ",Not available,"Minimum 10 years of market research & analytics experience. Elevate Business Analytics, worldwide forecasting and business optimization....","Global Head, Strat Insights & Analytics",Analytics,East Hanover,NJ,,
119,NIKE INC,"Portland, OR",Not available,"As a Data Analyst I in the Nike Sports Research Lab, you'll be responsible for sustaining and supporting the data-driven capabilities that keeps the lab...",Data Analyst,Data Analyst,Portland,OR,,
120,Teknicks,New Jersey,Not available,"The Analytics Specialist will work closely with the Director of Data Analytics to provide data analytics, modeling, and performance tracking that includes...",Analytics Specialist,Analytics,New Jersey,,,
121,Bayer,"Whippany, NJ",Not available,"Proven track record of professional success in analytics roles. The primary responsibilities of this role, Deputy Director - Commercial Data Science & Analytics...",Deputy Director - Commercial Data Science & Analytics Pharma...,Analytics,Whippany,NJ,,
122,DISNEY,"New York, NY 10036",Not available,"The Data Scientist is a critical position within DSS and in the Data organization who specializes in applying machine learning methods to meet optimization,...","Data Scientist, Retention",Data Scientist,New York,NY,10036,
123,Delta Air Lines,"Atlanta, GA",Not available,"Develop basic reports and analyses with direction from Sr Specialists, Analytics Leaders and Managers. The Operations Analysis & Performance (OAP) team provides...",Data Analyst,Data Analyst,Atlanta,GA,,
124,Johnson & Johnson Family of Companies,"Somerville, NJ",Not available,"Extensive knowledge of analytics and technology, with demonstrated expertise and knowledge in supporting business data / analytics needs....","Senior Manager, Data Analytics & Business Planning - ETHICON",Analytics,Somerville,NJ,,
125,Pfizer,"New York, NY 10017 (Midtown area)",Not available,"The Scaled Analytics - Americas team is a regionally-focused BA team that utilizes advanced analytic techniques to address key business questions, provide...","Director, Scaled Analytics - Americas",Analytics,New York,NY,10017,(Midtown area)
