,Company,Location,Salary,Summary,Title,Job Category
806,Mayo Clinic,"Phoenix, AZ 85001 (Central City area)",Not available,Utilizes Infor/Lawson ERP and contract management system for order/contract management and data analytics. No....,Performance Consulting Analyst-Capital Equipment and Service...,Other
812,CPA Global Limited,"Southfield, MI",Not available,Job Type 3rd party Contractor Ideas change the world. Help us change the way the world manages them. Job Summary Are you looking for a way to put your...,(Remote Contractor) Patent Analyst- Electrical Engineering/...,Other
845,Wayfair,"Boston, MA 02116 (South End area)",Not available,"If you are highly analytical and interested in identifying what drives customer behavior, we would love to have you join our team! The Team: Wayfair's Growth...",Quantitative Marketing Analyst,Other
847,Morgan Stanley,"New York, NY",Not available,"Partner with the Bank’s Data Analytics team to create customized risk reporting tools based on data obtained through the Bank’s sales organization•Partner with,...",Field Risk Intelligence Officer,Other
853,Scow Capital,"Boston, MA 02116 (South End area)",$100 - $300 a day,"Interested candidates will help conduct altcoin research, market analytics, and prospective ICO investments....",Hedge Fund Analyst (Cryptocurrency & Digital Assets),Other
862,Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available,"Drive innovation by leveraging industry best practices in technology and automation tools to revolutionize service delivery in areas such as Cloud computing,...","VP, Customer Care",Other
879,Becton Dickinson & Company,"Franklin Lakes, NJ 07417",Not available,"Bachelor’s degree in analytics or business, or equivalent experience. Job Description Summary....","Sr. Analyst, Service Management",Other
889,Humana,"Tampa, FL",Not available,Experience in a system analytics and/or data warehousing environment. The Senior Data and Reporting Professional generates ad hoc reports and regular datasets...,Senior Data and Reporting Professional,Other
890,Microsoft,"Cambridge, MA 02142 (East Cambridge area)",Not available,"A new technology paradigm is emerging, one with an intelligent cloud and an intelligent edge. To foster Microsoft’s leadership in this field, Microsoft has...",Full Time opportunities for students & recent graduates: Mic...,Other
897,Google Fiber,"Durham, NC",Not available,"Demonstrated experience in analytics and problem solving. 3 years of experience in a role focused on analytics, such as;...","Business Operations and Strategy Associate, Google Fiber",Other
901,American Eagle Outfitters,"Pittsburgh, PA 15205",Not available,"Experience with Tableau analytics software preferred. Will also be responsible for identifying efficiencies, risks, and opportunities within the process, and to...",Sr Analyst,Other
902,Bayer,"Whippany, NJ",Not available,"Continuously measure Oncology business performance and identify market trends, business gaps/opportunities based on robust data analytics....",VP Customer and Business Insights Oncology,Other
903,DISNEY,"Anaheim, CA 92805",Not available,Integrate – Partner with the Decision Science team to integrate advanced analytics and insights into the resorts pricing process....,Pricing Analyst (Disneyland Resort),Other
904,McKinsey & Company,"Houston, TX 77002 (Downtown area)",Not available,"Background in consulting, strategy, analytics and/or research is a plus. Energy Insights, a specialist data and analytics unit, provides distinctive analysis,...","Oilfield Services Analyst - Energy Insights, New Ventures",Other
906,Ralph Lauren,"New York, NY",Not available,"Improve efficiency and customer experience through innovative infrastructure, process, & analytics. Ralph Lauren Corporation (NYSE:RL) is a global leader in the...","Analyst, Strategy & Operations",Other
914,Accenture,"Florham Park, NJ 07932",Not available,"Leveraging digital technologies such as automation, artificial intelligence, Internet of Things, analytics and cloud, in combination with a fundamental redesign...",Laboratory Informatics Consultant - Location Negotiable,Other
1,TechData Service Company LLC.,"Franklin Lakes, NJ",Not available,Experience in ERP (SAP) and reporting (Business Intelligence) systems . Coordinate dispute information with Chargeback Analyst and Distributor partners as...,Commercial Contract Operations Analyst,Other
4,LookingGlass Cyber Solutions,"Reston, VA 20191",Not available,LookingGlass Cyber Solutions has an immediate opening for a motivated Legal Intelligence Analyst to join LookingGlass’ world-class Global Security &...,Legal Intelligence Analyst,Other
8,New York District Attorney's Office,"New York, NY",Not available,"I2 Analyst Notebook; In this position, the intelligence analyst is responsible for providing CSU with investigative, analytical, and data manipulation support....",Intelligence Analyst,Other
10,Amazon.com,"Newark, NJ",Not available,"Audible - an Amazon company and perpetual innovator – is looking for a data-driven, detail-oriented Country Business Analyst for our business in Canada....",Country Analyst,Other
11,The Madison Square Garden Company,"New York, NY 10121 (Chelsea area)",Not available,"Working in collaboration with other Intelligence and Security teams, the Intelligence Analyst (IA) is tasked with maintaining situational awareness of potential...",Security Intelligence Analyst,Other
12,UNITED STATES ARMY,"Seattle, WA 98125 (Victory Heights area)","$40,000 - $80,000 a year","A signals intelligence analyst examines foreign communications/activity and relays that information by producing combat, strategic and tactical intelligence...",SIGNALS INTELLIGENCE ANALYST,Other
20,TARGET,"Minneapolis, MN",Not available,"Bachelors in Supply Chain, Business, Economics, Computer Science, Engineering or related field or relevant experience in business analyst/data analyst...",Prototype Analyst - Ops Intelligence,Other
24,General Dynamics Information Technology,"Tampa, FL 33621 (MacDill AFB area)",Not available,ARMA Global is seeking a self-starter Data Aggregation and Mitigation Support Specialist that performs work in a small team capacity and can support a dynamic...,Intelligence Analyst (Mid level),Other
25,General Dynamics Information Technology,"Fort Huachuca, AZ 85613",Not available,"Trains military personnel on the 35F MOS by utilizing various forums of instruction, such as formal classroom training courses , course facilitation, CBT's,...",35F10 Intelligence Analyst Course Instructor,Other
26,NJ Office of Homeland Security & Preparedness,"Township of Hamilton, NJ",Not available,Providing intelligence support to cases being pursued by criminal investigators; All submissions must be received no later than close of business on the closing...,18-21-S - Intelligence Analyst 3,Other
30,ABSc,"Linthicum, MD",Not available,Bachelor’s Degree in Intelligence Studies and 3 years of intelligence analysis experience OR; Provide intelligence analysis support in identifying foreign...,Intelligence Analyst I,Other
35,UNITED STATES ARMY / ARMY RESERVE,"Manassas, VA 20109","$30,000 - $70,000 a year","The intelligence analyst is primarily responsible for the analysis, processing and distribution of strategic and tactical intelligence....",Intelligence Analyst,Other
38,Google Fiber,"Durham, NC",Not available,"Management consulting, investment banking, business intelligence, or corporate strategy. Expand engagement with teams across Google Fiber to capture new...","Business Operations and Strategy Associate, Google Fiber",Other
40,CSG Solutions,"Fayetteville, NC",Not available,"(2) Operates intelligence systems and intelligence analysis systems. Open Source Intelligence (OSINT) Analyzes and integrates intelligence data, plans, or...",Open Source Intelligence Analyst (SOCFWD-Africa),Other
42,Amazon.com,"Herndon, VA",Not available,"As we expand into more international locations and continuously innovate, AWS is seeking an experienced and self-motivated Security Intelligence Analyst (Intel...",Security Intelligence Analyst,Other
43,"Insight Enterprises, Inc.","Tempe, AZ 85283",Not available,"Sr Business Intelligence Analyst. 5+ years’ experience in Business Intelligence. Today, every business is a technology business....",Bus Intelligence Analyst Sr,Other
45,Arizona Department of Public Safety,Arizona,"$46,313 - $61,877 a year",Collects and compiles criminal intelligence information and statistics to generate intelligence data for support in investigations through personal contact (e.g...,Criminal Intelligence Analyst,Other
46,City of Austin,"Austin, TX 78702 (Rosewood area)",$21.48 - $27.33 an hour,Performs intelligence analysis. The Crime Intelligence Analyst is expected to support the Austin Regional Intelligence Center’s (ARIC) partner agencies by...,Crime Intelligence Analyst,Other
50,Intel,"Hillsboro, OR 97124",Not available,The Data Center Market Intelligence team is seeking experienced Market Intelligence Analysts. Delivering analysis to support day-to-day business decision-making...,Market Intelligence Analyst,Other
53,Information Network Associates (INA),"Harrisburg, PA",Not available,"Intelligence Analyst Position Available. Organization as an Intelligence Analyst. Information Network Associates, Inc....",Intelligence Analyst,Other
58,APEX Expert Solutions,United States,Not available,8+ years’ experience as a GMTI or geospatial intelligence analyst with prior deployment experience providing intelligence support to combat operations....,OCONUS Intelligence Analyst,Other
62,Perspecta,"Chantilly, VA",Not available,Collects data using a combination of standard intelligence methods and business processes. Demonstrated experience in the intelligence lifecycle....,Regional Intelligence Analyst,Other
69,US Army,"Rosedale, NY","$60,000 a year","The intelligence analyst is primarily responsible for the analysis, processing and distribution of strategic and tactical intelligence....",INTELLIGENCE ANALYST,Other
71,Allianz Worldwide Partners,"Richmond, VA",Not available,More information regarding the Allianz Worldwide Partners lines of business can be found at:. Maintain ongoing level of understanding of business processes and...,Operations BI Analyst,Other
72,"U.S. Army - Bay Shore, NY","Bay Shore, NY 11706","$1,500 - $4,500 a month",REQUIREMENTS Age: 17 - 34 YEARS OLD Education: MINIMUM OF GED Medical: NO MEDICATION Law: WILL REQUIRE POLICE CHECK MUST ENLIST/COMMISSION INTO US ARMY...,Intelligence Analyst,Other
73,G4S,"Santa Clara, CA 95050","$65,000 - $75,000 a year",The Intelligence and Investigations Analyst will be tasked with providing investigative and intelligence collection support to Regional Security Manager(s) as...,Intelligence and Investigations Analyst,Other
81,Washington Army National Guard,"Lynnwood, WA 98037","$10,000 - $15,000 a year","More to come. This will be filled out momentarily with the information pertaining to the position listed. Job Type: Part-time Salary: $10,000.00 to $15,000...",Intelligence Analyst Position,Other
82,US Air Force,United States,Not available,Intelligence Studies and Technology. Manipulate and extract intelligence data from electromagnetic emissions. Operate electronic equipment and computer systems...,Signals Intelligence Analyst,Other
85,Pinkerton,"Palo Alto, CA",Not available,The Protective Intelligence Analyst based within our clients Global Security Intelligence & Investigations team supports intelligence-related tasks including...,Protective Intelligence Analyst,Other
86,Toast,"Boston, MA 02115 (Fenway-Kenmore area)",Not available,The Payments Intelligence Analyst will be responsible for identifying and providing insights in payment processing cost optimization and improvement....,Payments Intelligence Analyst,Other
100,Leidos,"Suitland, MD",Not available,Leidos has an opening for an Intelligence Analyst to provide database and user support to the Office of Naval intelligence....,Intelligence Analyst - Active TS/SCI required,Other
103,CUAS Solutions,"Atlanta, GA","$80,000 - $100,000 a year",Analyst will deploy to Afghanistan full time. Seeking motivated Intelligence Analysts to support US Forces in Afghanistan....,Intelligence Analyst - Deployed,Other
105,UNITED STATES ARMY / ARMY RESERVE,"Antioch, CA","$30,000 - $80,000 a year","A signals intelligence analyst examines foreign communications/activity and relays that information by producing combat, strategic and tactical intelligence...",Signals Intelligence Analyst (Entry Level),Other
111,NTT DATA Services,"Merrifield, VA",Not available,"Intelligence Analyst to join our team in Merrifield, Virginia (US-VA), United States (US). We deliver tangible business results by combining deep industry...",Sr. Intelligence Analyst,Other
115,Sawdey Solution Services,"San Antonio, TX 78243",Not available,"Certified as a Small Disadvantaged Business. Based in Dayton, Ohio since 2001, Sawdey Solution Services is a Woman Owned/Service-Disabled Veteran-Owned Small...","Intelligence Analyst_Lackland AFB, TX",Other
118,"Integral Consulting Services, Inc.",Virginia,Not available,Provides specialized intelligence and threat analysis and production support. Provide intelligence and threat analysis of the information that is tailored to...,Intelligence Analyst,Other
119,Polaris Alpha,"Fort Gordon, GA",Not available,"A Bachelor’s degree in any focus, preferably in Mathematics, Business, IT, or Intelligence. Experience in a Military Intelligence discipline preferably deployed...",Intelligence Analyst,Other
123,Deloitte,"Tucson, AZ",Not available,Experience in collecting and analyzing competitive intelligence. We believe that business has the power to inspire and transform....,Intelligence Analyst,Other
135,"Camcraft, Inc.","Hanover Park, IL 60133",Not available,"Provide market research, data mining, business intelligence and valuation comps. Create financial models and scenarios for future business planning....",Financial Analyst,Other
139,U.S. Army,"New Haven, CT","$20,000 - $60,000 a year",Planning intelligence operations and managing intelligence programs. Overseeing the work of Intelligence Specialists – Enlisted Sailors (no degree required) who...,Military Intelligence Analyst,Other
142,AT&T,"Santa Maria, CA",Not available,"5+ years of experience in space systems operations, military intelligence, and/or space intelligence is a must....",Intelligence Analyst (Government) Vandenberg AFB,Other
144,The Madison Square Garden Company,"New York, NY 10121 (Chelsea area)",Not available,The Senior Security Intelligence Analyst will partner with the Director Intelligence and junior Analysts to maintain situational awareness of potential and...,Senior Security Intelligence Analyst,Other
146,Palantir Technologies,"Washington, DC 20007 (Georgetown area)",Not available,"Collect raw open source intelligence. As members of Palantir's Threat Intelligence Team, Open Source Intelligence (OSINT) Analysts help us respond to an ever...",Open Source Intelligence (OSINT) Analyst,Other
147,AccruePartners,"Huntersville, NC",Not available,7+ years of experience extracting and transforming data within Business Intelligence environment. See your impact on the business – a great opportunity to...,Sr BI Analyst (2 open),Other
150,Citi,"Tampa, FL 33646 (Downtown area)",Not available,"Minimum of 1-3 years of experience as an intelligence analyst or investigator in a corporate setting, federal law enforcement agency, or intelligence...",Investigations Intelligence Sr. Analyst,Other
154,BAE Systems,"McLean, VA 22102",Not available,"Understanding the basic intelligence cycle/process. About BAE Systems Intelligence & Security. BAE Systems Intelligence & Security, based in McLean, Virginia,...",Intelligence Analyst,Other
166,SOSi,United States,Not available,The Intelligence Analyst will provide comprehensive all-source reporting and analysis from in-theater intelligence databases in support of the customer’s...,Intelligence Analyst,Other
168,Pinkerton,"Palo Alto, CA",Not available,"The GSOC Intelligence Analyst, assigned to a specific client, oversees the daily operations of the Global Security Operations Center....",GSOC Intelligence Analyst,Other
172,Perfecta,"Fort Gordon, GA","$55,000 - $60,000 a year",Former Human Intelligence experience a plus. This position is for an operational support technician with technical knowledge adept at applying program standards...,Intelligence Analyst,Other
173,GTL,"Jackson, MI",Not available,"GTL is seeking an Intelligence Analyst to join our team in Jackson, MI. Demonstrate fundamental understanding of investigative and intelligence processes to...",Intelligence Analyst,Other
176,LOCKHEED MARTIN CORPORATION,"Aurora, CO 80011 (Norfolk Glen area)",Not available,"Lockheed Martin is looking for an entry level Intelligence Analyst to join our talented team in our Aurora, CO location....",Entry Level Intelligence Analyst,Other
177,The Resource Connection,"Boston, MA 02117 (South End area)",Not available,Knowledge of business intelligence and reconciliation tools an asset. Provide support to analyst. Validate and approve reports prepared by analyst;...,Client Reporting Analyst,Other
178,Lathrop Gage,"Kansas City, MO",Not available,Experience with Business Intelligence tools is required. Strength in analytical and reasoning skills with the ability to quickly grasp complex business concepts...,Financial Analyst,Other
182,Workday,"Pleasanton, CA 94588",Not available,Workday is growing its Competitive Intelligence team and we are looking for a Principal Competitive Intelligence Analyst to focus on Workday Financials....,Principal Competitive Intelligence Analyst,Other
190,"United States Army, Active Duty & Army Reserves","Westminster, MD","$1,600 - $2,000 a month",The United States Army has an ongoing need for qualified applicants to fill positions in over 150 full time career fields and over 120 part time career fields...,"Intelligence Analyst, Law Enforcement, Cyber, Engeneering",Other
198,NAPA Auto Parts,"Atlanta, GA",Not available,Demonstrated and advanced proficiency with business intelligence tools. Undergraduate degree from an accredited institution (or other advanced degree in...,Sr. Financial Planning and Analysis Analyst,Other
209,Michigan Milk Producers Association,"Novi, MI",Not available,Assists in the development of reporting and business intelligence analyses. Responsibilities for MMPA business include:....,Database Administrator,Other
210,General Dynamics Information Technology,"MacDill AFB, FL",Not available,Collects data using a combination of standard intelligence methods and business processes. Experience researching and writing intelligence reports....,Intelligence Analyst - TS/SCI - MacDill AFB,Other
217,Centene Corporation,"Clayton, MO",Not available,"3+ years of experience with intelligence gathering tools. Provide information to management via a profile or report, including crime and incident statistics...",Intelligence Analyst,Other
218,QUICK SERVICES LLC,"Fayetteville, NC 28307",Not available,The position of Senior Intelligence Exploitation Analyst shall possess the following qualifications:. Intelligence Targeting Analysts enable the F3EAD targeting...,Senior- Intelligence Exploitation Analyst,Other
