Title,Summary,Company,Location,Salary
Bell Labs Summer Intern in Data Science,The selected candidates will be actively involved in the research aspects of developing and applying advanced machine learning and AI techniques and algorithms....,NOKIA,"Murray Hill, NJ",Not available
Regulatory Chemist,Provide technical support to lead scientists and research groups within R&D as it relates to the development of new and existing products requiring regulatory...,Sasol,"Lake Charles, LA",Not available
Data Scientist-Technology,"Leads small and participates in large data analytics project teams. Certificate in business analytics, data mining, or statistical analysis....",Walmart Stores,"Bentonville, AR 72712",Not available
"Strategy and Operations Data Scientist , Go-to-Market",Passion for telling a story with data and using data visualization to help people find meaningful insights....,Google,"Mountain View, CA",Not available
"Director I, CX Data Science","Degree (in Statistics, Mathematics, Economics, Actuarial Science or other scientific field of study) and 2-4 years of relevant experience, a Master’s degree ...",Liberty Mutual,"Boston, MA 02116 (South End area)","$132,300 - $173,200 a year"
Data Scientist,"This individual will work on the Consumer Insights and Targeting team, reporting to a Senior Data Scientist....",L. L. Bean,"Freeport, ME",Not available
Data Scientist - Global Investment Banking - Associate,We have a great opportunity within our Global Investment Banking Data Analytics Team in New York as a Data Scientist....,JP Morgan Chase,"New York, NY 10179 (Midtown area)",Not available
Data Scientist,"3+ years’ practical experience with SAS, ETL, data processing, database programming and data analytics. Experience with analytical/programming languages such as...",DELL,"Round Rock, TX 78664",Not available
Data Scientist Intern,"You will work alongside consultants, managers, and data scientists to enhance business performance through analytics and data science focused initiatives....",IBM,"Armonk, NY 10504",Not available
Associate Data Scientist,"Leveraging the latest technologies in big data, machine learning and data mining, Spirent provides state-of-the-art software products for communication service...",Spirent Communications,"Holmdel, NJ 07733",Not available
Data Scientist (Research),"Moreover, the data scientist must understand the scientific process of hypothesis generation and testing, in particular data oriented discovery methodologies...",HCA Corporate,"Nashville, TN",Not available
Computer Science / Software Engineering New and Recent Grads,Research and gather information on machine learning/neural networks needed to conduct an experiment in MATLAB on generated data;...,Mitre Corporation,"Bedford, MA 01730",Not available
Capacity Planning Data Scientist,Enhance the team's data science architecture by creating new/enhancing existing automation scripts with R and Python....,ADP,"Roseland, NJ 07068",Not available
Data Science Intern,"Currently working towards a Masters or PhD degree in a quantitative field like Statistics, Machine Learning, Deep Learning, Natural Language Processing, etc....",Grubhub,"New York, NY",Not available
Data Scientists – Machine Learning,Apply machine learning and statistical techniques to large data sets to find actionable insights. You will work on Advanced Analytics using Big Data...,Brielle Technologies,"Alpharetta, GA",$60 - $70 an hour
Data & Applied Scientist- PCCI,"Data & Applied Scientist- PCCI. At least 1-3 years' experience in the use of common data science toolkits/libraries such as R, SPSS, SAS, Weka, scikit-learn,...",Parkland Health and Hospital System,"Dallas, TX",Not available
Data Scientist - Onboarding Algorithms,"We partner with other data scientists, engineers, the product team, and the creative team to make our vision a reality....",Stitch Fix,"San Francisco, CA",Not available
Data Scientist,"Build solutions with kdb+, Q, R and HTML5. As a Senior Data Scientist, you will work on a green field application for client intelligence, operational...",Prospect 33,"Jersey City, NJ",Not available
Data Scientist,"Our mission is to enhance healthcare delivery through integration of machine learning, extracting knowledge from millions of data points from the electronic...",NewYork-Presbyterian Hospital,"Manhattan, NY",Not available
"Data Scientist, Machine Learning",Applies its unique credit-decisioning technology platform — based on data science and machine learning — to help lenders effectively predict credit risk so they...,Zest Finance,"Pittsburgh, PA",Not available
Actuarial Data Scientist #83274,"$120,000 - $160,000 a year


                            Actuarial Data Scientist needed by Ohio insurer for Position 83274. Requires machine learning experience and property and casualty actuarial experience....",Ezra Penland Actuarial Recruitment,"Cincinnati, OH","$120,000 - $160,000 a year"
Quantitative Analyst,"Working in multi-disciplinary teams, RAND Project Analysts apply project management and quantitative analytic skills to help projects collect data, analyze data...",RAND,United States,Not available
"Director, Data Scientist","Apply new computing technologies with cutting-edge machine learning algorithms, such as Decision Tree, Random Forests, Gradient Boosting Machine, Deep Learning...",Prudential,"Newark, NJ",Not available
Data Scientist Intern,"Typically requires expertise in relational database structures, research methods, machine learning, Cloud based technologies, Big Data technologies i.e. Hadoop...",Intel,"Phoenix, AZ 85018 (Camelback East area)",Not available
Data Scientist,"6+ years’ practical experience with SAS, ETL, data processing, database programming and data analytics. Experience in mining Claims and EMR data, preferably...",McKesson,"The Woodlands, TX",Not available
Data Science Masters Intern,We value our more seasoned data scientists because they bring additional value to our company by using their years of experience to guide the next generation....,Honeywell,"Atlanta, GA 30308 (Old Fourth Ward area)",Not available
Data Scientist,"Excellent understanding of machine learning techniques and analytics tools like R, Python, ETL skills, Data analysis....",Newforce,"New York, NY",$40 - $50 an hour
Applied Scientist - Amazon AI,As an Applied Scientist you are expected be an expert in an area relevant for large scale machine learning and its applications....,Amazon.com,"New York, NY",Not available
Remote Lead Data Scientist,Lead Data Scientist. We are looking for talented data scientists to lead our data science efforts at Prominent Edge....,Prominent Edge,Virginia,Not available
Data Analyst / Data Scientist,Must be able to write SQL queries and must have experience with data extraction. We have a client that is looking for a data scientist to add to its team....,Defined Clarity,"Cherry Hill, NJ",$65 - $75 an hour
eCommerce Senior Data Scientist,"PepsiCo’s Data Science and Analytics group is a team of data scientists, technology specialists, and business innovators who operate within eCommerce to build...",PepsiCo,"New York, NY",Not available
Data Scientist/Statistician,"Conduct research on statistical techniques, evaluating applicability of improved experimental design and measurement techniques to help guide teams throughout...",eBay Inc.,"San Jose, CA",Not available
Financial Planning & Analysis Consultant-data mining and dat...,Associate Director Level FP&A is looking for resource in the area of data mining and data analyses. Manage and maintain supporting documentations for key inputs...,TechData Service Company LLC.,"Woodcliff Lake, NJ",Not available
Data Scientist,"The Times seeks a Data Scientist to join the Data Science Group applying machine learning methods to meet this challenge, in close collaboration with working...",The New York Times,"New York, NY 10036",Not available
Senior Data Scientist - Remote,"Providing technical guidance on data science methods and tooling, including conceptualization, ETL, data cleaning, feature development, model construction,...",Adaxa Technologies,"Fort Lauderdale, FL",Not available
Data Scientist - Manufacturing and Supply Chain Analytics,"Manufacturing and Supply Chain Analytics (MSCA) team within Ford’s Global Data, Insight and Analytics (GDI&A) organization is looking for a highly skilled...",Ford Motor Company,"Dearborn, MI 48126",Not available
Data Scientist I,"Partner with analysts, data scientists, operators, and ad partners to advance Expedia’s competency around incremental returns on marketing spend....",Expedia,"Bellevue, WA 98004 (Downtown area)",Not available
Research Intern - Information and Data Sciences,"We are particularly interested in candidates with experience in machine learning (specifically deep learning, causal/counterfactual inference, recommendation...",Microsoft,"Redmond, WA",Not available
"Research Scientist, Machine Learning","You have experience with the complexities of real-world data, and understand the value of both in-depth, qualitative and web-scale, quantitative data working...",Spotify,"New York, NY 10011 (Chelsea area)",Not available
Data Scientist,"Translate machine learning results, business value and insights to stakeholders in plain, business-centric language with easy-to-understand visualization to set...",Roku,"New York, NY",Not available
Machine Learning RSDE Intern,"Broad knowledge of machine learning and computer vision techniques such as deep neural networks, object detection and tracking, and data processing at scale....",Vulcan Inc.,"Seattle, WA 98104 (First Hill area)",Not available
"Data Scientist – Secureworks - Columbia, MD or Remote","If you’re a data scientist with experience applying machine learning to challenging real-world problems, we need your help to push the boundaries of artificial...",DELL,"Columbia, MD",Not available
Senior Associate Data Scientist,"Collaborating with other Data Scientists on the team. Proficient in SQL, Python, R and familiar with big data approaches....",Amgen,"Thousand Oaks, CA 91320",Not available
Principal Data Scientist,Build predictive models and machine learning functions leveraging the data in order to directly answer production questions for business needs....,ADP,"Florham Park, NJ 07932",Not available
"Data Scientists (Chief, Senior & Entry Level)","Computer programming (e.g., Python, R), data structures (e.g., SQL), statistics (e.g., Bayesian modelling), data visualization, are required....",Vanderbilt University,"Nashville, TN",Not available
Senior Scientist I- Data Science,"Knowledge of advanced data mining techniques e.g. AI, machine learning, etc. As part of a fantastic team of scientists, engineers and nutritionists, you'll work...",Mondelez International,"East Hanover, NJ 07936",Not available
Sr. Engineer II - Data Scientist,"Use big data tools such as Hadoop, Spark, Hive, R, etc. to manage the analysis of millions of customers and billions of customer transaction records....",American Express,United States,Not available
Data Scientist -Machine Learning Graduate Intern,Analyze data statistics to address data limitations in machine learning/AI models; The Aerospace Corporation is seeking a Data Scientist - Machine Learning & AI...,The Aerospace Corporation,"Crystal City, VA",Not available
Data Scientist - Demand Forecasting,"Data Scientist Responsibilities. In a typical day, you will work closely with talented machine learning scientists, statisticians, software engineers, and...",Amazon.com,"New York, NY",Not available
Part-Time Data Science Instructor- Remote Position,"You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists. Data visualization techniques;...",General Assembly,"New York, NY",Not available
Data Science Development Program- Junior Data Scientist,"Junior data scientists work together with MassMutual's data scientists to solve challenging problems in fields such as finance, operations, marketing, digital...",MassMutual,"Amherst, MA 01002",Not available
Market Research Data Scientist - Uber ATG,"You will work with cross-functional teams of product managers, engineers, data scientists, and other product professionals in one of the most high-impact...",Uber,"Pittsburgh, PA 15201 (Central Lawrenceville area)",Not available
Data Scientist,Creates statistical approaches and analyze data generated by multiple applications/processes and trends data to understand opportunities for focused...,Infometry,United States,Not available
"Data Scientist, Applied Sciences","Strong data intuition, deep knowledge in data modeling, statistical inference, machine learning, and other quantitative approaches;...",WeWork,"Palo Alto, CA",Not available
Data Scientist,"Experience with advanced data analytics and data mining. The purpose of the Data Scientist is to develop advanced analytic solutions from big data, internal...","Altec Industries, Inc.","Birmingham, AL 35242",Not available
AI Senior Data Scientist - PS12748,"AI Senior Data Scientist. At Anthem, Inc., it’s a powerful combination, and the foundation upon which we’re creating greater access to care for our members,...","Anthem, Inc.",United States,Not available
Product Data Scientist,We're looking for a Data Scientist to join Team Snapchat! Fluency in SQL or other big data querying language. Effectively report your insights via visualization...,Snap Inc.,"New York, NY",Not available
"Data Scientist - Travel, Transport and Logistics","Working directly with consulting teams in conducting deep analytics on client and external data, you will play a lead role in team problem solving through...",McKinsey & Company,"Waltham, MA",Not available
2019 PhD Data Scientist Internship - UberEverything - New Yo...,"Uber Everything Data Scientists help solve the most challenging problems related to Uber's ambitious and rapidly expanding on-demand delivery businesses, such...",Uber,"New York, NY 10018 (Clinton area)",Not available
Data Scientist,"Creating statistical and machine learning models, algorithms and data visualizations to enable solutions to complex business questions....",TE Connectivity,"Berwyn, PA 19312",Not available
Manager: Big Data Analytics and Machine Learning Specialist,"Big Data Analytics and Machine Learning Specialist. Build, design and implement high-volume, high-scale responsive web front ends, web APIs, data analytics and...",Deloitte,"Jersey City, NJ",Not available
Data Scientist (HR People Analytics),Influence human resources and senior business leaders through strong communication skills and deep subject matter expertise in order to turn insights into...,Genentech,California,Not available
Data Scientist - Rockefeller Neuroscience Institute,The Rockefeller Neuroscience Institute at West Virginia University is seeking applications for a Data Scientist to work with the Applied Research program on...,Careers | West Virginia University,"Morgantown, WV",Not available
Data Scientist,The Data Scientist assists MAPMG in making strategic data-related decisions by analyzing and manipulating data and building models to assist in the clinical and...,Mid-Atlantic Permanente Medical Group,United States,Not available
Junior Data Scientist,Junior Data Scientist. Evaluate data quality using SQL and data analysis techniques that improve client-reporting capabilities....,CGI,"Arlington, VA",Not available
"Google AI Resident, 2019 Start (Fixed-Term Employee)","As part of this program, Residents collaborate with distinguished scientists from various Google AI teams working on machine learning applications and problems....",Google,"New York, NY 10011 (Chelsea area)",Not available
Data Scientist,Analyze business problems and propose appropriate advanced analytical solutions to business Implement analytical solutions involving statistical techniques and...,"PERITUS INC,.","Orange, CA 92869",Not available
Postdoctoral Fellow - Oncology (Multiple Positions),"The selected candidate will work closely with other scientists, participate in project teams, and work in a multidisciplinary environment in order to advance...","IMMUNOMIC THERAPEUTICS, INC.","Rockville, MD 20850",Not available
Staff Data Scientist,"A deep understanding of machine learning and interest in applying it at scale. Prior hands-on experience with Python, Java, R, C/C++, Scala or F# and the...",Jet & The Walmart eCommerce Family of Brands,"Hoboken, NJ",Not available
Data Scientist - Descriptive Analytics,"At Ford’s Data & Analytics organization, we like data - a lot. At times, the problem is identified by a business unit, frequently wishing to optimize cost,...",Ford Motor Company,"Dearborn, MI 48126",Not available
Data Scientist," Proficient with the use of advanced statistical analysis software and applications (SAS, R, Python, SQL programming, etc.)....",Marlin Finance,"Mount Laurel, NJ",Not available
"Associate, Data Scientist, Healthcare",Minimum of two years of prior experience working in teams of data & analytics professionals to deliver on business-driven analytics projects using natural...,KPMG,"Atlanta, GA 30338",Not available
Entry-Level Cognitive Software Developer,Create and maintain machine learning models with a focus on big data. You will create and maintain machine learning models with a focus on big data....,IBM,United States,Not available
E-09-311 Data Scientist,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,...",Axiologic Solutions,"Fairfax, VA",Not available
Manufacturing Data Scientist,"The Discoverant system provides data aggregation from site and global data systems, data analysis, and reporting capability for the CPV process....",Thermo Fisher Scientific,"Durham, NC 27702",Not available
Data Scientist for Autonomous Systems,"Other research activities include implementation of machine learning/ deep learning models in low-compute platforms, and evaluating tradeoffs between...",Intel,"Santa Clara, CA 95052",Not available
Data Scientist,"Expertise in quantitative analytics including machine learning, clustering, regression, and other approaches....",Food52,"New York, NY 10001 (Chelsea area)",Not available
Data Scientist I,"The primary focus of our data scientists will be leading our Data and Integration Team in applying data mining techniques, cleansing and transforming data, and...",Do it Best Corp.,"Fort Wayne, IN 46803 (East Side area)",Not available
Data Scientist,1+ years of professional experience as a Data Scientist. Collaborate with the product and technology teams to contribute to the advanced data analytics and...,Reorg Research,"New York, NY",Not available
Data Science Intern (2019),"Some knowledge of statistics, econometrics, or machine learning and experience applying that knowledge to data....",Chegg,"New York, NY",Not available
Data Scientist - Global Research & Data Analytics - Associat...,The successful candidate will apply data analytics techniques from traditional statistics to data engineering and some machine learning for banking applications...,JP Morgan Chase,"New York, NY 10179 (Midtown area)",Not available
Staff Mathematician- Data Analytics and Machine Learning,The Computational and Applied Mathematics (CAM) Group is seeking an exceptional mathematician to work on the development of rigorous theory and algorithms for...,Oak Ridge National Laboratory,"Oak Ridge, TN 37831",Not available
Senior Data Scientist,"MS or PhD in Natural Language Processing, Machine Learning, or related field. Java 8, Scala, Python, R, willing to consider others....","Hyatt Leader, Ltd","New York, NY",Not available
"Data Scientist, Amazon Music NLU","MS + 2 years or BS + 5 years of experience with machine learning, statistical modeling, data mining, and analytics techniques....",Amazon.com,"Seattle, WA",Not available
Agriculture Data Scientist - Agriculture Commodity Research...,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists)...",McKinsey & Company,"Denver, CO",Not available
Data Scientist / Machine Learning Expert (FT),This position is for a Data Scientist / Machine Learning Expert who will work in our studios as a member of our data science team....,SphereOI Studios,"McLean, VA",Not available
Senior Data Scientist - Multiple Locations,"Lead a team of data scientists to discover insights and identify opportunities through the use of statistical, data mining and visualization techniques....",UnitedHealth Group,"Eden Prairie, MN 55344",Not available
Data Scientist,"Strong working knowledge of data mining algorithms including supervised and unsupervised machine learning techniques including random forest, clustering, neural...",SHI International Corp.,"Somerset, NJ 08873",Not available
"Performance Analytics Supervisor, Data Scientist","Apply data science principles such as decision trees, logistic regression, neural networks, clustering, data mining and other techniques....","iCrossing, Inc","New York, NY 10016 (Gramercy area)",Not available
Data Scientist,"Data Analytics, Machine Learning or equivalent experience. This position is for a Data Scientist who can think strategically and intuitively about uses of data...",InfoQuest Consulting Group Inc.,"Monmouth Junction, NJ 08852",Not available
Sr. Data Scientist,3+ years of relevant experience in building large scale machine learning or deep learning models and/or systems....,Amazon.com,"New York, NY",Not available
Data Scientist (Credit Risk),Critically interrogate data and patterns then compiles learnings into insights and turn these insights into features....,QuadPay,Remote,Not available
AI Machine Learning Engineer (Deep Learning),"Strong publication record in machine learning and deep learning at top conferences and journals. PhD / Masters in Computer Science, Electrical Engineering,...",Volvo Cars Technology,"Rockleigh, NJ","$160,000 - $200,000 a year"
Data Scientist,"Collaborate with other Data Analysts/Engineers, subject matter experts, and decision makers to develop data-driven models to accelerate data discovery, automate...",Nexus,"Falls Church, VA 22042",Not available
Data Scientist,"The Data Scientist will need strong working knowledge of data mining algorithms including decision trees, probability networks, association rules, clustering,...",Cerner Corporation,"Kansas City, MO 64116",Not available
data analysis,for data analysis testing purpose Job Type: Temporary Salary: $10.00 to $11.00 ...,"Vectornate USA, Inc","Englewood Cliffs, NJ",$10 - $11 an hour
AI/Machine Learning Data Scientist,"Work with a variety of analytics methods such as Artificial Intelligence / Machine Learning (AI / ML) , link analysis, predictive modeling, natural language...","Onyx Government Services,LLC","Vienna, VA 22180",Not available
Data Scientist,The data scientist will work closely with a data engineer to make the most of largely untapped audience data sets....,Dow Jones,"New York, NY 10176 (Murray Hill area)",Not available
Data Scientists,"SQL, Spark, R, Python, GitHub. 6+ years of industry work experience in data scientist projects. Analysis of large amounts of historical data, determining...",Intellibee Inc,"San Jose, CA","$80,000 - $100,000 a year"
Data Science Specialist,"The data is primarily clinical data, but on occasion extends to population-based or relevant basic-science data....",University of California San Francisco,"San Francisco, CA 94104 (Financial District area)",Not available
GSAM Technology - Data Science and Machine Learning Engineer,IMD Knowledge Management team is looking to expand its presence in New York with the addition of a senior data scientist and machine learning engineer....,Goldman Sachs,"New York, NY 10282 (Tribeca area)",Not available
Data Science/Machine Learning Intern/Co-Op,"System/software architecture and development, virtual machine technology, distributed processing, data analytics, machine learning and/or natural language...",ALSTOM,Florida,Not available
ASSOCIATE DATA SCIENTIST,"The Associate Data Scientist assists the team in developing predictive models, mining data sets for insights, ensuring the success of assigned projects, and...","Foot Locker, Inc.","New York, NY",Not available
Sports Medicine Data Scientist - Contractor,"Telecommunications equipment, fax machine and copier · Health care facility. Integrate multiple data sources including but not limited to Electronic Health...",United States Olympic Committee,"Colorado Springs, CO",Not available
Data Scientist- Sustainability,"This position requires work experience in statistical analysis and machine learning, the ability to think big and dive deep, and embody a unique mix of thought...",Amazon.com,"Seattle, WA",Not available
Sr. Data Scientist - Machine Learning,WW Ops ACES is hiring a Senior Machine Learning Scientist (MLS) to play a leadership role in applying machine learning and data science capabilities to process...,Amazon.com,"Seattle, WA",Not available
Data Scientist,"Strong working knowledge of data mining algorithms including supervised and unsupervised machine learning techniques including random forest, clustering, neural...",SHI International Corporation,"Somerset, NJ 08873",Not available
"Data Scientist, Analytics","Analytics works closely with a group of cross-functional teams, such as Data Engineering & IT, to transform massive amounts of data into data products and...",Slack,"San Francisco, CA",Not available
Intern - Quantitative Analyst (Summer),"This position will support our work through data analysis, report writing and the presentation of results to a clinical audience....",Children's Healthcare of Atlanta,"Atlanta, GA 30341",Not available
Data Science Intern,We value our more seasoned data scientists because they bring additional value to our company by using their years of experience to guide the next generation....,Honeywell,"Atlanta, GA 30308 (Old Fourth Ward area)",Not available
Data Scientist,"Proven ability to manage and integrate data, tools, processes, and systems across disparate data sets. Develop and implement customer analytics data processes....",Bloomin' Brands,"Tampa, FL",Not available
data scientist,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our...",Qikspace,United States,Not available
Research Intern – Statistical Machine Learning,"During the internship, interns will work closely with their mentor, Lester Mackey, on a statistical machine learning project of mutual interest....",Microsoft,"Cambridge, MA 02142 (East Cambridge area)",Not available
Data Scientist - Artificial Intelligence,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits....",Ulta Beauty,"Bolingbrook, IL 60440",Not available
Full Stack Developer – Data Science,An appropriate candidate will have capability to build quick prototypes of decision support tools working with data scientists and optimization experts....,Delta Air Lines,"Atlanta, GA",Not available
Risk Data Scientist,"Native in R, Python or similar and SQL is a necessary. Critically interrogate data and synthetize learnings and insights....",Bread Finance,"New York, NY",Not available
Associate Data Scientist,"Work with other data scientists to design, analyze and implement solutions to enable insights. The incumbent will provide data analytics and data visualization...",Bristol-Myers Squibb,"Devens, MA 01434",Not available
Data Scientist,"Responsibilities for the Data Scientist include:. SQL, SAS, SPSS, R, Python). Please send resumes to John Gray at jgray@pipercompanies.com....",Piper Companies,"McLean, VA 22102","$60,000 - $90,000 a year"
Sr Data Scientist,"This position will primarily leverage SAS software (including Demand Driven Planning & Optimization, and Visual Analytics) to develop advanced modeling...",The Hershey Company,"Hershey, PA",Not available
Machine Learning / Artificial Intelligence Scientist,"Ford Motors’ Global Data Insight and Analytics (GDI&A) organization is looking for smart, nice and curious data scientists with exceptional skills in Machine...",Ford Motor Company,"Dearborn, MI 48126",Not available
Data Scientist - Survey Methodology and Computational Social...,Marketing Science R&D is an interdisciplinary team of data scientists focused on research that improves measurement and ads delivery on our platform....,Facebook,"Seattle, WA 98101 (Downtown area)",Not available
Data Scientist,"Conduct data mining from internal and external data sources. As a Data Scientist, you will use statistical analysis and data mining techniques to optimize risk...",Liberty Lending,"New York, NY",Not available
Instrumentation Data Scientist - Exploratory Design Group,The ideal candidate will have experience applying data analysis techniques to understand complex measurements....,Apple,"Santa Clara Valley, CA",Not available
Sr. Data Scientist,"Get to apply a broad array of capabilities spanning machine learning, statistics, text-mining/NLP, and modeling to extract insights to structured and...",Sanofi,"Bridgewater, NJ",Not available
Data Scientist Manager - Vice President,We have a great opportunity within our Global Investment Banking Data Analytics Team in New York as a Data Scientist....,JP Morgan Chase,"New York, NY 10179 (Midtown area)",Not available
Data Analytics Consultant,Data Analytics Consultant (Job Opening 443695) - Data Scientist contributes strategic vision and serves as the top-level technical contributor and lead for the...,Ohio State University Medical Center,"Columbus, OH 43212","$78,600 a year"
Data Scientist,"Experience in Data Visualization. Headquartered in Princeton, NJ, Mareana helps companies solve complex data problems with qSuite, our proprietary cognitive...",Mareana Inc.,"Princeton, NJ",Not available
Data Scientist,"3 years experience in applied Machine Learning techniques, advanced analytics and statistical modeling. Our ideal candidate is passionate about big data and...",Throtle,"Red Bank, NJ 07701",Not available
Data Analysis Specialist,Use various internal applications to fix data discrepancies. Strong attention to detail and very high concern for data accuracy....,New York District Attorney's Office,"New York, NY",Not available
Digital Analyst/Data Scientists,"This includes the use of new cutting-edge technologies related to artificial intelligence, machine learning and advanced analytics. Data Privacy Laws....",DuPont,"Wilmington, DE",Not available
Consumer Data Scientist,"SQL skills and the ability to use tools such as Python, R to work efficiently at scale with large data sets....",Uber,"Seattle, WA 98101 (Downtown area)",Not available
Associate Scientist – Viral Vaccines,"Proficiency with personal computers including word processing, Excel or Graphpad Prism, PowerPoint and relevant scientific software is desirable....",Pfizer Inc.,"Pearl River, NY 10965",Not available
Applied Scientist,As a Scientist in the AI Lab are expected be an expert in an area relevant for large scale machine learning and its applications....,Amazon.com,"New York, NY",Not available
"Data Science Online Project Instructor (Part-Time, Contract)","Share your knowledge with over 2,770,000 data scientists around the world. Anyone with a passion for data science and storytelling can be a project instructor....",DataCamp,"New York, NY",Not available
Research Data Analyst,"Lead the design and execution of real-world data analyses including development of statistical analysis plans (SAP), leveraging appropriate programming language...",qualifIQ,"Hoboken, NJ","$70,000 - $130,000 a year"
"Solution Consultant, Data Science, AI","Experience with text mining and analyzing unstructured data. Experience with SQL, ETLs and data structures....",OpenText,"New York, NY",Not available
"Senior Data Scientist, Workforce Analytics",Minimum of 5 years experience applying machine learning algorithms and data mining approaches in an applied setting is required....,Johnson & Johnson Family of Companies,"New Brunswick, NJ",Not available
Data Scientist,"Work with data scientists, engineers, and product managers to understand data needs. Manage relationships with third-party analytics companies and other vendors...",Atlantic Media,"New York, NY",Not available
Data Management Technologist,"Previous internship or relevant work experiences in scripting, software development, or data analytics. In Global Data, we’re responsible for delivering this...",Bloomberg,"Princeton, NJ",Not available
Exposure Scientist,Candidates must be able to work independently and interact well with individuals in other scientific disciplines to achieve worldwide business objectives and to...,ExxonMobil,"Clinton, NJ",Not available
Data Scientist (Analytics),The Rockefeller Foundation’s Data and Technology team is seeking an experienced Full Stack Data Scientist to join its growing data analytics unit....,Rockefeller Foundation,"New York, NY 10018 (Clinton area)",Not available
Analytics Implementation Specialist,"Strong academic record and degree from a 4-year college or university is required Ability to succeed in a fast-paced, entrepreneurial environment including the...",DISNEY,"New York, NY 10036",Not available
Data Scientist Internship - Summer 2019,"The ideal candidate will be an entrepreneurial team player who can solve complicated machine learning problems and thrives in a fast-paced, data-driven,...",OfferUp,"Bellevue, WA",Not available
"Data Scientist, Amazon Alexa AI","3-5 years experience with various machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance....",Amazon.com,"Seattle, WA",Not available
Senior Data Scientist Internship - Summer 2019,"They draw upon the practice of data analysis, using predictive analytics, data mining, pattern recognition, data modeling, machine learning and various...",IBM,United States,Not available
Data Scientist,"Understand, communicate, and manage the end-to-end lifecycle of analytics on a given project. Balance deep involvement in technical solution development with...",Oliver Wyman,"New York, NY 10036",Not available
Junior Data Scientist,Creating cutting-edge data analytics technology. Engineers and data scientists to develop advanced forecasting and optimization solutions....,Invent Analytics,"Pittsburgh, PA",Not available
Quantitative Research Analyst,This research is vital in helping portfolio managers to select the most suitable investment options and manage asset class and risk exposures across all...,Fidelity Investments,"Boston, MA 02212 (Central area)",Not available
Data Scientist,"Deep experience in Hive, Spark, SQL and other big data skills. The Marketing Junior Data Scientist leverages advanced analytic knowledge and statistical/data...",UNITED PARCEL SERVICE,"Atlanta, GA 30328",Not available
Data Scientist,The Data Scientist will be part of the Data Science & Analytics team within our Product Marketing department. Strong working knowledge of data mining algorithms...,Teltech Systems,"South Amboy, NJ",Not available
Autonomy/AI Data Scientist,"At Lockheed Martin, we hire extraordinary Data Scientists who are passionate about working with cutting-edge information and technology....",LOCKHEED MARTIN CORPORATION,"Bethesda, MD 20817",Not available
Data Scientist,"This candidate will be responsible for gathering existing data and/or generating new data to solve technical, business or project related problems....",Corning,"Corning, NY 14830",Not available
Data Scientist - Supply Chain,"Deep understanding of and experience with statistical and machine learning algorithms such as decision trees, neural networks, collaborative filtering,...",Nordstrom,"Seattle, WA",Not available
Data Strategy/Machine Learning Architect,"Additional responsibilities will include presenting solution proposals, securing approval from stakeholders and working with the data modelling BA to ensure...",Credit Suisse,"New York, NY 10022 (Midtown area)",Not available
Data Science Team Lead,Utilize data mining and machine learning methods to extract insights and drive experience. Advise other Data Scientists on best practices and methodologies....,Grubhub,"New York, NY",Not available
Jr. Data Scientist,"Determines the appropriate analytics based on the data and the desired outcomes, using techniques including feature detection, statistics, data mining,...",SAIC,"McLean, VA",Not available
Data Scientist (L5),"Data Scientist (L5). In addition, this position is responsible for assisting with data analytics project throughout the Aftermarket organization....",Daimler,"Fort Mill, SC",Not available
Artificial Intelligence Expert (Data Scientist),"Leveraging your educational background in Science, Mathematics, Statistics, Computer Science, Data Science, or a related discipline, along with your relevant...",BASF Corporation,"Florham Park, NJ 07932",Not available
Data Analyst (Architecture Team),"Work in partnership with business analysts, data architects, data scientists and database developers to build data transaction and federated data integration...",Deloitte,"Atlanta, GA 30303 (Five Points area)",Not available
"data analyst, Supply Chain Advanced Analytics, SSC - Seattle...","This position partners on a cross-functional team of data scientists, statisticians, and analysts supporting strategic initiatives utilizing the latest...",Starbucks,"Seattle, WA 98133",Not available
Data Scientist,"OExperience with analytical tools, machine learning / AI languages and algorithms (e.g., Python, MatLab, R, Julia, SQL, etc)....",Citi,"New York, NY 10261 (Murray Hill area)",Not available
"AM- VP, Data Engineer- Machine Learning Workloads","Carefully listening to management, data scientists and data architects to establish their needs. Data mining, statistical analysis and machine learning (Pandas,...",JP Morgan Chase,"New York, NY 10017 (Midtown area)",Not available
Data Scientist,"In leveraging the DNA of a marketing agency with a talent pool of developers, data scientists and Ph.Ds, we hold a unique position in the increasingly crowded...",Hearts and Science,"New York, NY",Not available
"Image Analysis/Machine Learning Intern, Summer 2019","The student will develop a machine learning algorithm to improve and automate the scoring of uveitis in a mouse model, which will contribute to an ongoing...",Regeneron,"Tarrytown, NY",Not available
"Research Associate, Rutgers Discovery Informatics Institute",The Research Associate will be able to understand computing systems and have sufficient technical background in order to effectively manage the project annual...,Rutgers University,"New Brunswick, NJ",Not available
