Title,Summary,Company,Location,Salary
RESEARCH STATISTICIAN I AND II - OAHU,"Research Statistician II Level Only:. Basic Education Research Statistician I and II Levels:. The Research Statistician II, Assist higher level Research...",State of Hawaii,Hawaii,Not available
Senior Biostatistician,"Serves as the lead statistician for H&J’s projects, providing strategic and statistical input into all aspects of clinical development, including submissions to...","H&J CRO International, Inc.","Union, NJ 07083",Not available
Senior Clinical Data Manager,"Ability to work in a team environment with medical personnel, clinical monitors, statisticians, programmers, and medical writers....",TechData Service Company LLC.,"Berkeley Heights, NJ 07922",Not available
Senior Data Manager,"Ability to work in a team environment with medical personnel, clinical monitors, statisticians, programmers, and medical writers....",System One,"Berkeley Heights, NJ",Not available
Health Research Analyst - Statistician - Remote,We are seeking a talented individual for a Health Research Analyst II who is responsible for planning and conducting statistical and epidemiological analysis...,HMS,Texas,Not available
Statistician - Pharmacology and Experimental Therapeutics,"P rovides statistical support to medical and health science research projects. Depending on the project and level of expertise of the biostatistician, this...","Jefferson - Center City, Philadelphia, PA","Philadelphia, PA 19107 (City Center East area)",Not available
Statistician (Health) -- Direct Hire Authority,This announcement is being used to create an inventory of applicants for Statistician (Health) GS 1530-12 positions and will be used to fill immediate and...,CDC,"Atlanta, GA 30341","$73,375 - $109,245 a year"
Pharmacoepidemiologist,"GSO, regulatory, statistician, clinical operations, affiliates). The primary role of a GPE Pharmacoepidemiologist is to provide pharmacoepidemiology support to...",Sanofi,"Bridgewater, NJ",Not available
Biostatistician,"5+ years of Statistician experience. Perform trial statistician responsibilities as needed, including attendance of study team meetings, authoring SAPs,...",Synchrony Solutions,"Parsippany, NJ",Not available
Ultimate Hoops Statistician - SKY,The Statistician assists in the execution of Ultimate Hoops Basketball League by tracking full statistics for League games. Job Duties and Responsibilities....,Life Time,"New York, NY 10036",Not available
Quantitative Researcher - Internship (Bachelor's/Master's),"Founded by a statistician and a computer scientist, our approach is systematic and diversified. At Two Sigma, we’re different from other investment firms....","Two Sigma Investments, LLC.","New York, NY",Not available
Biostatistician,Summary The Biostatistician implements and executes methodological and statistical aspects of clinical studies under the supervision of Therapeutic Area lead...,Kaztronix,"Somerset, NJ",$65 - $90 an hour
Statistician,The Drexel University School of Public Health invites applications for a Statistician in the Urban Health Collaborative....,Drexel University,"Philadelphia, PA",Not available
"Director Biostats - Imuno-Oncology - North Bergen, NJ","$200,000 a year


                            Participate in process improvement, training, SOP development, enhancing statistical technical expertise and mentoring junior statisticians as a senior member...",Meet Recruitment,"Jersey City, NJ","$200,000 a year"
Principal Biostatistician,"Job Overview Principal Biostatistician These permanent, remote opportunities can be worked from anywhere in the U.S. or Canada. Are you ready to discover...",Covance,"Princeton, NJ 08540",Not available
Gameday Scoreboard & Stats Crew,Previous scoreboard or statistician experience is a plus. The Trenton Thunder is looking to fill positions in the Scoreboard and Stats departments for the 2019...,Trenton Thunder,"Ocean View, NJ",Not available
Statistician II,"Statistician II - (18047270) About H-E-B H-E-B is one of the largest, independently owned food retailers in the nation operating over 400 stores throughout...",HEB,"San Antonio, TX",Not available
Quantitative Research Associate,"Founded by a statistician and a computer scientist, our approach is systematic and diversified. At Two Sigma, we’re different from other investment firms....","Two Sigma Investments, LLC.","New York, NY",Not available
Biostatistician,Serves as the study Statistician on clinical trial projects. Provides scientific and therapeutic area thought for study design and statistical analysis issues....,A2Z Scientific,"Township of Warren, NJ",Not available
PhD Statistician,We seek both recent graduates and experienced statisticians with substantial publication records and extensive applied experience....,RAND,United States,Not available
Statistician- Institute Molecular Medicine,An exciting opportunity is available to work on the analysis of large-scale genomic data in a collaborative research setting of international studies on...,The University of Texas Health Science Center at H...,"Houston, TX",Not available
Statistician - Predictive Analytics,"As a Predictive Analytic Modeling Statistician in the Advanced Analytic Services team, you will be required to have the following background education and...",Dun & Bradstreet,"Short Hills, NJ 07078",Not available
"Biostatistician IIII(SPSS,R)---research and outcomes group","Experience supervising other statisticians. Provides guidance and trainings on statistical programming issues, standards and processes to other statisticians in...","TechData Service Company, LLC","New Brunswick, NJ",Not available
Statistician I,Job CodeRS0356 Statistician I. OGCH is seeking a Statistician to work on a variety of research projects and tasks. Duties & Responsibilities....,Harvard University,"Boston, MA",Not available
Senior Clinical Development Scientist,"Work closely together with internal (project owners, regulatory, clinical study managers, statisticians, business leaders, etc.)....",Philips,"Maple Grove, MN",Not available
Data Scientist - CIB Treasury Services,"Hybrid at your core - Part statistician, part computer scientist, part researcher, looking for order and patterns in data. Who we are....",JP Morgan Chase,"New York, NY 10179 (Midtown area)",Not available
Statistician,Responsible for the application of standard statistical methods for conducting analysis and preparing reports. Department: Public Health Biostatistics Dept...,The University of Texas Health Science Center at H...,"Houston, TX",Not available
Statistical Analyst,Job Code405021 Bio/Statistician (N) Duties & Responsibilities A large research study (“The Football Players Health Study at Harvard University”) was...,Harvard University,"Boston, MA",Not available
Data Scientist - Associate - CIB Treasury Services,"Hybrid at your core - Part statistician, part computer scientist, part researcher, looking for order and patterns in data. Who we are....",JP Morgan Chase,"New York, NY 10179 (Midtown area)",Not available
Statistician (Health),As a Statistician (Health) you will:. Department of Health And Human Services....,CDC,"Hyattsville, MD","$134,789 - $164,200 a year"
Watson Health - Research Leader (HEOR/Outcomes Research),"Collaborate with subject matter experts and teams of researchers, research leaders, programmers, analysts, and statisticians through the organization to design...",IBM,United States,Not available
Statistician / Bayesian,"TechData is looking for Entry level Statistician with Bayesian, HEOR Biostatistician, SDTM Programmer and Biostatistician (some can be remote)....",TechData Service Company LLC,"Bridgewater, NJ",Not available
Principal Biostatistician,"May be assigned to lead a small project or parts (e.g., indication(s)) of a project, initially under the supervision/guidance of a more experienced statistician...",Novartis,"East Hanover, NJ",Not available
"Associate Director, Statistician", Previous experience in leading and completing a task force or supervising statisticians. In Statistics with 8+ years (or 10+ years for MS) pharmaceutical...,Celgene,"Berkeley Heights, NJ",Not available
Mathematical Statistician - Entry/Mid-Level,"NSA is actively seeking mathematical statisticians to join a vibrant community of mathematicians, statisticians, physicists, computer scientists, and other...",National Security Agency,"Fort Meade, MD","$69,545 - $86,659 a year"
Statistician,The Statistician responsibilities include:. The Carolinas Center for Medical Excellence (CCME) seeks a statistician to engage in the development of mathematical...,The Carolinas Center for Medical Excellence,"Cary, NC 27518",Not available
Senior Statistician,Our ideal Statistician for the role has a Ph.D. This is a great opportunity to broaden your skills within the pharmaceuticals industry as a Senior Statistician....,Celgene,"Berkeley Heights, NJ",Not available
Senior Biostatistician - Remote,"You are an experienced statistician who has worked within multiple statistical and therapeutic areas. As a Senior Biostatistician, you are responsible for...",PRA Health Sciences,"New York, NY",Not available
Statistician,Responsibilities Analyze historical data on natural catastrophes Work with scientists and engineers to develop statistical algorithms for catastrophe model...,Karen Clark & Company,"Boston, MA 02116 (South End area)",Not available
STATISTICIAN,"3 years of Statistician work experience. We are seeking a confident, and enthusiastic statistician to join our team....",Businesses Pratt & Whitney,"East Hartford, CT",Not available
Economist/Statistician - Amazon Search,Description Amazon.com strives to be Earth's most customer-centric company where people can find and discover anything they want to buy online. We hire the...,Amazon.com,"Palo Alto, CA",Not available
Masters Level Statistician,Specific duties for the statistician include:. Masters Level Statistician for the MGH Biostatistics Center. Work with the study team and PhD statisticians to...,Massachusetts General Hospital(MGH),"Boston, MA",Not available
Senior Forecasting Statisician,Louis is seeking a Senior Forecasting Statistician for the Treasury Division’s Forecasting and Cash Management Analytics Group....,Federal Reserve Bank of St. Louis,"St. Louis, MO",Not available
Statistician,"Position Focus: To provide expertise in the design, analysis, and interpretation of ongoing and planned observational studies, clinical trials, and basic...",Yale University,"New Haven, CT 06511 (Newhallville area)",Not available
Statistician- CDC,Advanced statistician with coursework/training in statistical programming:. We are hiring a statistician with expert skills in statistical programming to...,G2S Corporation,"Atlanta, GA",Not available
Intern: Biostatistician,The interns will work with one or multiple senior level statisticians on a research project titled “Studying Matching Methods to Compare Data from Single-arm...,Biogen,"Cambridge, MA",Not available
"Dir, Biostatistics",Functions as lead statistician in global registration trials and manages all related statistical activities....,Eisai,"Woodcliff Lake, NJ 07677",Not available
"VP, CIMR - Fragrance","Manages external MR Agencies, Statisticians, and University Research activities. Develops and facilitates the management and decision-making initiatives on...",Takasago International Corp,"Rockleigh, NJ 07647",Not available
"Associate Director, Biostatistics",Manages contract statisticians in the group. Functions as lead statistician in global registration trials and manages all related statistical activities....,Eisai,"Woodcliff Lake, NJ 07677",Not available
Senior Biostatistician – Remote,Serves as lead statistician for assigned projects to provide statistical and programming support in one or more Phase I-III clinical studies....,Princeton Pharmatech,United States,Not available
Senior Statistician,"Janssen Research & Development, LLC, a Johnson and Johnson Company is hiring a Senior Statistician to be in Spring House, PA....",Johnson & Johnson Family of Companies,"Spring House, PA",Not available
"STATISTICAL PROGRAMMER, School of Public Health, Biostatisti...","Determine the type of analyses needed for the project in collaboration with project statistician. Primarily responsible for designing, developing, and executing...",Boston University,"Boston, MA",Not available
Scorekeeper (Statistician),Previous experience of statistician duties. Rules & Regulations Committee....,Los Angeles Hoopz,"Torrance, CA",Not available
"Senior Director, Biostatistics, Neurology",Manage and mentor junior statisticians. Senior Director of Biostatistics will independently manage multiple projects/compounds in Alzheimer’s Disease and...,Eisai,"Woodcliff Lake, NJ 07677",Not available
Temp - Biostatistician,"LMR, #LI-LR1, Biostatistician, statistician. The Biostatistician implements and executes methodological and statistical aspects of clinical studies under the...",Regeneron,"Basking Ridge, NJ",Not available
Statistician,Are you an experienced Statistician looking to work in a R&D laboratory environment? Interested in a mission-driven organization with work/life balance?...,Naval Nuclear Laboratory,"Niskayuna, NY 12309",Not available
Consumer Behavior Modeler II,We are looking to hire excellent statisticians at all stages of their careers.The modeling team offers a compelling combination of professional opportunities....,Bank of America,"Wilmington, DE 19884",Not available
Biostatistician,Trains and mentors junior statisticians. Acts as a lead statistician for projects. At least 7 years of experience for MS and 3+ years for Ph.D working in the...,Brightech International,"Somerset, NJ 08873",Not available
Quantitative Research Analyst or Developer,"Founded by a statistician and a computer scientist, our approach is systematic and diversified. At Quant Hedge Fund (Un-Disclosed), we’re different from other...",INEVITABLE ENTERPRISE's Client,"Stamford, CT","$90,000 - $250,000 a year"
"Data Scientist, Engineering","(e.g., as a statistician / data scientist / computational biologist / bioinformatician). 4 years of relevant work experience (e.g., as a statistician /...",Google,"New York, NY 10011 (Chelsea area)",Not available
Bachelor's Level Research Assistant - Quantitative (term),"Research Assistants work on a variety of education, health, science, technology, and homeland security and national security policy projects with teams of...",RAND,United States,Not available
Senior Statistician,"UCSF Helen Diller Family Comprehensive Cancer Center is seeking an independent, results and detailed oriented Senior Statistician (SS)....",University of California San Francisco,"San Francisco, CA 94104 (Financial District area)",Not available
Statistician I,"Some of the major responsibilities of a Statistician I include:. American Greetings is looking for a motivated, growth-oriented Statistician I to join the...",American Greetings,"Westlake, OH 44145",Not available
Director of Statistics,"Increase expertise amongst Pfizer statisticians through dissemination of statistical knowledge, new methodologies and regulatory guidelines....",Pfizer,"Peapack, NJ",Not available
Associate Global Trial Director,"Contribute to the development of Case Report Forms (CRFs), edit checks, CRF completion guidelines, data review reports and trial statistical analysis plan in...",Novartis,"East Hanover, NJ",Not available
Statistician,"Coke Florida seeks to add a key member to its team by employing a dynamic, analytical individual as its next Statistician....","Coca-Cola Beverages Florida, LLC","Tampa, FL 33601",Not available
Statistics Content Author (Contract),Are you a statistician or statistics educator with a passion for teaching others? This position will be employed through Headway consulting firm working...,Macmillan Learning,Remote,Not available
Senior Survey Statistician,FMG is seeking an experienced and motivated Senior Survey Statistician to work as part of a team primarily focused on research methods and data analysis....,Fors Marsh Group,"Arlington, VA",Not available
Mathematical Statistician (Direct Hire),Department: Department of Health And Human Services Agency: Centers for Disease Control and Prevention Job Announcement Number: HHS-CDC-DH-19-10367526 SALARY...,CDC,"Atlanta, GA 30341","$87,252 - $129,906 a year"
Applied Statistician/Mathematician Intern,"Tukwila,Washington,United States UANWNA For over 100 years, Boeing has shaped the course of human history through aerospace innovations. Today, because of our...",BOEING,"Tukwila, WA",Not available
Biostatistician I - Office of Biostatistics - 63173,"Min Qualifications Masters degree in Biostatistics, Statistics or related field. JOB DESCRIPTION: Provides statistical support services to faculty, staff,...",UTMB,"Galveston, TX 77550","$62,154 - $69,300 a year"
Research Statistician I,The Research Statistician I independently applies logic to set up cohort based on data plan provided. The analyst works closely with senior statisticians in...,Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",Not available
Economist/Statistician,"Duties Summary This position is located in the Department of Labor, Bureau of Labor Statistics, and will be filled in the Compensation Program. Selection will...",US Department of Labor,"Kansas City, MO 64108 (Crown Center area)","$65,479 - $85,125 a year"
Clerical Statistician,"Vacation relief for payroll clerk and plant statisticians. Founded in 1936, Roseburg Forest Products is a privately owned company and one of North America's...",Roseburg Forest Products,"Dillard, OR",Not available
RESEARCH STATISTICIAN/PROGRAMMER,Under direction of Principal Investigators provide a wide variety of statistical and statistical programming support services for research studies....,"University of California, Davis","Sacramento, CA 95817 (North Oak Park area)","$4,742 - $8,799 a month"
Sr. Statistician,"For Senior Statistician:. As a Statistician/Senior Statistician, you will manage/lead/be responsible for working in a team of statistical experts to drive the...",GlaxoSmithKline,"Rockville, MD",Not available
Analytical Consultant,"Work interactively with a team of highly trained and skilled consultants, project managers, statisticians, and analysts....",EXPERIAN,United States,Not available
Sr Biostatistican Programmer,"Working closely with clinicians, statistician, and publication managers to generate and QC outputs for publications; Sr....",MaxisIT Inc,"Woodcliff Lake, NJ",Not available
Clinical Data Management Specialist,"To collaborate with Medical researchers, Veterinarians, Project Managers, Laboratory Scientists, Clinical Research Managers, Clinical Research Associates,...",Merck USA,"Madison, NJ",Not available
Statistician,The statistician will help design new workflows to automate survey data development and dissemination. The statistician will work in center's statistical unit...,UCLA,"Los Angeles, CA",Not available
Data Scientist - Executive Director - CIB Treasury Services,"Hybrid at your core - Part statistician, part computer scientist, part researcher, looking for order and patterns in data. Who we are....",JP Morgan Chase,"New York, NY 10179 (Midtown area)",Not available
Methodologist/Statistician,General Activities: Work with established researchers on articles for top journals. Expand your CV and use these publications as a launching pad for your...,Lake Washington Consulting,"Seattle, WA",$20 an hour
Statistics Content Author (Contract),Are you a statistician or statistics educator with a passion for teaching others? This position will be employed through Headway consulting firm working...,Macmillan Learning,Remote,Not available
STATISTICIAN,"Summary A part time position to develop statistical proof of concept using complex educational survey data. Main duties can include research, review existing...",KEN Consulting,"Washington, DC",Not available
Statistician,The primary responsibility of the statistician will be to conduct statistical analyses and associated tasks related to DSCRU research projects....,NorthEast Provider Solutions Inc.,"Valhalla, NY",Not available
Statistician,"Key responsibilities: Assist with protocol preparation, sample size and power calculations, and randomization schedule generation Review case report forms to...",Pharmapace,"San Diego, CA",Not available
Healthcare Statistician,"Reporting to the Provider Resources, Inc (PRI) management team, the Healthcare Statistician is responsible for data base management, generating data, and...",Provider Resources Inc,United States,Not available
Analytical Consultant,"Work interactively with a team of highly trained and skilled consultants, project managers, statisticians, and analysts....",EXPERIAN,United States,Not available
Statistician,"Under administrative guidance and review from faculty and a senior statistician, this Statistician will collaborate with researchers in designing, implementing,...",The University of Chicago,"Chicago, IL",Not available
Ultimate Hoops Statistician - Princeton,The Statistician assists in the execution of Ultimate Hoops Basketball League by tracking full statistics for League games. Job Duties and Responsibilities....,Life Time,"Plainsboro, NJ",Not available
Data Scientist,"As a Data Scientist on the Topline team, you will collaborate directly with economists and statisticians to produce modeling solutions, you will partner with...",Amazon.com,"New York, NY",Not available
Statistical Researcher/Scientist,"As part of the Financial and Uncertainty Modeling Group, you will closely work with a team of statisticians, mathematicians, analysts and geoscientists in AIR’s...",AIR Worldwide,"Boston, MA 02116 (South End area)",Not available
Statistician,"R-2064 Statistician (Open). Is a leading global information services provider driving the connected world forward with trusted, holistic identity resolution....","Neustar, Inc.","Los Angeles, CA",Not available
"Statistician in Collegeville, PA","Work closely with lead statisticians to assure accurate representation in reports and research publications. At least 2 Years experiences as SAS programmer, or...",Rangam Consultants Inc.,"Collegeville, PA",Not available
STATISTICIAN III - DUSON,"General Purpose Perform a variety of intermediate and advanced statistical, data management and technical activities associated with conducting health...",Duke University and Duke University Health System,"Durham, NC",Not available
Senior Statistician,"The statistician must have deep expertise in using statistical software such as SPSS, SAS, STATA, R, and related programs....","DevTech Systems, Inc.","Arlington, VA 22209 (Radnor-Ft Myer Heights area)",Not available
Industrial Statistician,"Location: Corning, NY, US, 14830 Company: Corning Corning is one of the world’s leading innovators in materials science. For more than 160 years, Corning...",Corning,"Corning, NY 14830",Not available
Statistician - Multiple Levels,MLT Systems iscurrently seeking Statisticians to provide analytical support to the Joint Program Executive Office for Chemical and Biological Defense (JPEO-CBD)...,Mlt Systems,"Fort Detrick, MD",Not available
Statistician Lead,How to Apply A cover letter is required for consideration for this position and should be attached as the first page of your resume. The cover letter should...,University of Michigan,"Ann Arbor, MI","$72,014 - $88,959 a year"
Masters Statistician – Intern,Masters Statistician – Intern. The Global Statistical Sciences Division of Eli Lilly and Company anticipates having a number of internship positions available...,Eli Lilly,"Indianapolis, IN 46285",Not available
Data Statistician,Two years of experience as a data statistician preferred. Jackson Lewis P.C....,Jackson Lewis P.C,"Melville, NY",Not available
Biostatistician,"The biostatistician will collaborate with epidemiologists, statisticians, project coordinators and investigators in a variety of fields to analyze and manage...",Johns Hopkins University,"Baltimore, MD","$68,000 - $80,000 a year"
"Data Scientist Intern, PhD, 2019","Google's statisticians and data scientists/quantitative analysts work within our Software Engineering organization, including Life Sciences, Geo, Technical...",Google,"New York, NY 10011 (Chelsea area)",Not available
Lead Statistician,"Ph.D or Master’s Degree in Biostatistics or a related field. 5+ years of experience in pharmaceutical, biotech, or CRO industry. Experience in the application...",Biostats,United States,Not available
Senior Statistician,We are looking for a best-in-class statistician to join our marketing analytics team and help Expedia continue generating incremental returns on our marketing...,Expedia,"Bellevue, WA 98004 (Downtown area)",Not available
Economist/Statistician - Amazon Search Technologies,Job Description Description Amazon.com strives to be Earth's most customer-centric company where people can find and discover anything they want to buy online...,Amazon.com,"Palo Alto, CA",Not available
Grad Intern – Biostatistics (Summer2019),This position within the Center for Design and Analysis (CfDA) will work closely with a senior-level statistician on topics related to the design and analysis...,Amgen,"Thousand Oaks, CA 91320",Not available
"Principal Biostatistician, CD&A, GDD Division","Collaborate with cross-functional teams, including lead statisticians, trial statisticians, PK Sciences representatives and other clinical line functions as...",Novartis,"East Hanover, NJ",Not available
2019 Summer Intern Program - Statistician Intern,Epsilon is seeking a Statistician Intern who will be responsible for applying various statistical and data analysis techniques in support of a variety of...,AllianceData,"Atlanta, GA",Not available
Database Specialist 2,"Collaborates with others such as statisticians, other programmers, database administrators to design or implement applications to meet the specifications of the...",Penn State University,"Hershey, PA",Not available
2019 Summer Intern Program - Statistician Intern,Epsilon is seeking a Statistician Intern who will be responsible for applying various statistical and data analysis techniques in support of a variety of...,Epsilon,"Atlanta, GA 30346",Not available
Sr. Principal Biostastician,"Mentor new hires and/or junior Statisticians. Experience in all tasks of a statistician at the. Initiate, drive and implement novel methods and innovative trial...",Novartis,"East Hanover, NJ",Not available
"AML Statistician-Scenario Development R, SAS, SQL",The AML Statistician will work under the supervision of a Functional Team Manager to provide ongoing support in terms of required analysis....,Citi,"Tampa, FL 33646 (Downtown area)",Not available
Statistician,We are looking for a biologically-minded statistician to bring their skills to our team. Phylos Bioscience has an immediate opening on the Breeding and Data...,Phylos Bioscience,"Portland, OR 97214 (Buckman area)",Not available
Statistician - Public Health Research,"Far Harbor LLC seeks a client-friendly, PhD-level Research Statistician for a full-time staff position. As part of a small and growing consulting firm, a...","Far Harbor, LLC","Austin, TX","$84,000 - $104,000 a year"
"STATISTICAL PROGRAMMER, School of Medicine, Neurology",Determine the type of analyses for the project in collaboration with project statistician and principal investigator....,Boston University,"Boston, MA",Not available
Sr. Statistician,"Senior Statistician for CTOT (Clinical Trials in Organ Transplantation) study, PI:. Statistician will use existing UCLA data to train models for CLAD prediction...",UCLA Health,"Westwood, CA 96137",Not available
Statistician,Analyzes and develops ad hoc reports to enable process and trend analysis on various quality activities. Conducts special projects requiring a high degree of...,WellCare,"Tampa, FL 33634",Not available
Quality Engineer EM Statistician,"Job Summary The Quality Assurance Engineer is responsible for quality assurance activities with oversight of investigations, the Quality Management System SOP...",Avantor,Pennsylvania,Not available
Statistician,We are currently looking for a Statistician with a solid theoretical and applied background to fill an exciting role with Occidental Petroleum (OXY)....,Occidental Petroleum,"Houston, TX",Not available
Government Analytics Statistician,"Why We Work at Dun & Bradstreet Life here at Dun & Bradstreet is changing – for the better. With almost two centuries of experience and a new modern vibe,...",Dun & Bradstreet,"Reston, VA 20190",Not available
Bio-Statistician,"Involved in advanced analytics in support of conceptualization, design and evaluation of BCBSM clinical programs, such as the largest Patient-Centered-Medical...",Blue Cross Blue Shield of Michigan,"Detroit, MI",Not available
Director BIOSTATISTICS,Partners with GBS Leads and protocol statisticians in reviewing protocols and statistical analysis plans (SAP) and providing biomarker/diagnostic expertise and...,Bristol-Myers Squibb,"Princeton, NJ 08541",Not available
Strategy Consultant Commercial Data Science- Remote Position,"Work interactively with a team of highly trained and skilled consultants, project managers, statisticians, and analysts....",EXPERIAN,United States,Not available
Program Analyst/Statistician,"Program Analysts provide program and technical support at a Navy Recruiting District to accommodate program analysis requirements, tracking the execution of...",Dynamic Systems Technology Inc,"Boston, MA","$43,000 a year"
Research Analyst,"Job Code405021 Bio/Statistician (N) Duties & Responsibilities Health care delivery is a large industry in the United States, employing over 12 million people...",Harvard University,"Boston, MA",Not available
Statistician/Intermediate,Recommends and implements advanced statistical and computational methodologies to answer questions that further promote the long-term overall success of the...,Atrium Health,"Charlotte, NC 28203 (Dilworth area)",Not available
R Programmer/Statistician,"We are looking for an R programmer/Statistician to join our team. Programmer will work alongside our management team to develop statistical models, create and...",PierTop,"Port Saint Lucie, FL","$40,000 - $60,000 a year"
Sr. Economist,"Mentor and develop economists, statisticians, and scientists from other disciplines. Amazon is looking for an economist to answer causal inference questions in...",Amazon.com,"Seattle, WA",Not available
Ultimate Hoops Statistician,The Statistician assists in the execution of Ultimate Hoops Basketball League by tracking full statistics for League games. Job Duties and Responsibilities....,Life Time,"Westwood, MA 02090",Not available
Sports Information Statistician,Serve as the official statistician and game-day administrator for all York College home contests as well as coordinate with fellow Sports Information Directors...,"York College, City University of New York","Jamaica, NY 11451","$1,000 - $2,000 a month"
Pharmacogenomics Statistical Analyst,"Interface with clinical teams, research scientists, statisticians, and global project teams. The Regeneron Genetics Center (RGC) is a wholly-owned subsidiary of...",Regeneron,"Tarrytown, NY",Not available
Senior Statistician,"Statistician in our Cambridge, MA office. Statistician, you will be empowered to provide statistical leadership in the design, analysis and interpretation of...",Takeda Pharmaceutical,"Boston, MA",Not available
Statistician,We are seeking a full-time statistician to join an active research program focused on using “big data” to construct cohorts and answer clinically relevant...,SF VA Medical Center,"San Francisco, CA",Not available
Bioinformatics & Computational Data Specialist III: Host Gen...,"The goal is to compile, store, and analyze the data using emerging software packages and work with statisticians to analyze the data....",University of California San Francisco,"San Francisco, CA 94104 (Financial District area)",Not available
Operations Research Scientist,Our team members have an opportunity to be on the forefront of supply chain thought leadership by working on some of the most difficult problems in the industry...,Amazon.com,"Seattle, WA",Not available
Statistician,"Job Responsibilities This position is part-time at 20 hours per week and is located in the Department of Crime Victim Services Training, Provider Certification...",State of South Carolina,"Richland County, SC",$28.85 an hour
Applied Science Statistician,"Position Title Dry GIC Capability Statistician. The role of the Dry GIC Capability Statistician is to use mathematics, programming and visualization to discover...",Mars,Tennessee,Not available
